brain	heart	kidney	liver
MGP_PahariEiJ_G0008586	6.328838	5.759039	5.53371	3.611645
MGP_PahariEiJ_G0008588	0	0.5543275	0	0.5177282
MGP_PahariEiJ_G0008589	0.5356748	0	0	0
MGP_PahariEiJ_G0008591	0.4798597	0	0	0
MGP_PahariEiJ_G0008593	2.375337	1.189306	2.5454	1.612669
MGP_PahariEiJ_G0008594	1.238383	1.226169	1.514228	0
MGP_PahariEiJ_G0008595	0.8550082	1.068086	0.7510746	0
MGP_PahariEiJ_G0008597	3.359892	1.599251	1.511114	0.5245081
MGP_PahariEiJ_G0008599	0	0	0	1.183779
MGP_PahariEiJ_G0008604	1.674406	1.663012	3.122971	1.180167
MGP_PahariEiJ_G0008605	2.662201	2.302316	4.701166	1.470677
MGP_PahariEiJ_G0008607	3.469391	2.995995	3.087156	2.814214
MGP_PahariEiJ_G0008608	4.679936	3.640135	4.141425	4.566712
MGP_PahariEiJ_G0008609	1.003545	1.428555	1.732404	0.9787287
MGP_PahariEiJ_G0008611	0	0	0.9398141	0
MGP_PahariEiJ_G0008617	5.47476	4.199908	4.044683	3.793521
MGP_PahariEiJ_G0008618	3.009301	0.878355	0.2509034	0
MGP_PahariEiJ_G0008620	0	0	0.888467	0
MGP_PahariEiJ_G0008621	2.320352	2.493914	0	1.680765
MGP_PahariEiJ_G0008622	0.8219771	0.8195636	1.338864	0.5237968
MGP_PahariEiJ_G0008624	1.336106	0	2.813744	1.002652
MGP_PahariEiJ_G0008625	0.2545336	0	0.3229722	0
MGP_PahariEiJ_G0008626	0.352719	0	0	0
MGP_PahariEiJ_G0008627	0.1704571	0	0.2143113	0.9557368
MGP_PahariEiJ_G0008628	7.123377	6.250052	6.967342	6.927731
MGP_PahariEiJ_G0008630	0.3976683	0	0.8576833	0.2747662
MGP_PahariEiJ_G0008632	1.249148	0	0.7602882	0.348399
MGP_PahariEiJ_G0008633	0.5910551	1.173351	2.188553	0.2205627
MGP_PahariEiJ_G0008634	0	3.275837	0	0
MGP_PahariEiJ_G0008636	4.394425	0	1.987521	1.308629
MGP_PahariEiJ_G0008637	2.091504	0.3497774	2.073896	0.8138678
MGP_PahariEiJ_G0008639	0.8111348	0	0.9853562	0
MGP_PahariEiJ_G0008643	2.777184	0.2850246	0.6577763	0
MGP_PahariEiJ_G0008647	0	0	1.958702	0
MGP_PahariEiJ_G0008648	0	0	3.275281	0
MGP_PahariEiJ_G0008649	0.9798688	1.803644	0	0
MGP_PahariEiJ_G0008651	3.670557	1.316464	2.860383	0.9235136
MGP_PahariEiJ_G0008653	0	0	0.7435917	0
MGP_PahariEiJ_G0008656	0	0	0.8222651	0
MGP_PahariEiJ_G0008657	0	0.3784384	0	0
MGP_PahariEiJ_G0008658	0.1806953	0	0.4168938	0.1188361
MGP_PahariEiJ_G0008662	2.10386	0	0	0
MGP_PahariEiJ_G0008663	0.6826173	0.2776575	0	0.2613635
MGP_PahariEiJ_G0008665	2.948162	0	0	0
MGP_PahariEiJ_G0008671	0	0.340103	0	0
MGP_PahariEiJ_G0008673	2.467992	0	0	0
MGP_PahariEiJ_G0008674	0.3895162	0.5208647	1.139057	0
MGP_PahariEiJ_G0008679	0	0	0.7747411	0
MGP_PahariEiJ_G0008680	0.4711927	0.625248	0	0.5753859
MGP_PahariEiJ_G0008681	1.755294	0	1.354452	0
