kidney	liver	ovary	testis
ENSTRUG00000000199	6.9393275	2.9729866095	4.867462	4.261869
ENSTRUG00000000200	1.59034	0.088210307	0.7555294	0.04407512
ENSTRUG00000000201	3.582002	1.59675947	2.049021	0.6216595
ENSTRUG00000000202	2.6120875	1.246021898	2.165539	2.975889
ENSTRUG00000000203	5.256488	2.7580560295	5.124531	1.645051
ENSTRUG00000000204	0	0	0.447211	0.7264197
ENSTRUG00000000205	4.6614895	3.303678612	4.715575	1.383392
ENSTRUG00000000206	2.7291555	1.0609873725	3.47428	0.9500578
ENSTRUG00000000207	0.50324595	0.090120075	0.3177637	1.709425
ENSTRUG00000000208	2.884173	1.1218984995	1.813874	0.03273055
ENSTRUG00000000209	4.2026725	2.2178880855	3.508006	1.019875
ENSTRUG00000000210	4.516607	4.785262341	4.584113	1.21214
ENSTRUG00000000211	0.2347742	0.1833244585	0.4776452	0.03929452
ENSTRUG00000000212	0.14424596	0	0	0.1012585
ENSTRUG00000000213	0	0	1.459579	0.06577798
ENSTRUG00000000214	4.323511	1.9734915775	4.084192	1.223725
ENSTRUG00000000215	1.862414	0.0965060245	2.122428	0.7040459
ENSTRUG00000000216	1.07569165	0.2717469895	1.954758	0.171778
ENSTRUG00000000217	4.8111095	2.3039427435	5.724833	3.822689
ENSTRUG00000000218	6.6126005	4.8803168105	7.230462	4.499253
ENSTRUG00000000219	5.543763	5.288324349	5.955397	1.337557
ENSTRUG00000000220	10.77107	7.575906797	9.518753	7.002286
ENSTRUG00000000222	0.1158328	0.0553465205	0.2178275	0
ENSTRUG00000000223	5.7938505	2.2885026885	3.782356	1.254667
ENSTRUG00000000224	2.722502	1.419825211	2.115233	0.1194181
ENSTRUG00000000225	5.7129885	3.119882981	5.958067	1.427193
ENSTRUG00000000226	4.921489	2.7134330275	5.102604	2.361895
ENSTRUG00000000227	3.8990215	0	0.1927345	0
ENSTRUG00000000228	0.10174073	0	0.3074367	0.1006739
ENSTRUG00000000229	4.3693145	0.2844907025	0.2981891	0
ENSTRUG00000000231	4.815777	1.007591246	2.319517	1.789036
ENSTRUG00000000232	2.998514	0.1733927995	1.464661	0.06094054
ENSTRUG00000000233	4.5706725	3.398338866	4.665846	1.605153
ENSTRUG00000000234	7.361979	6.309827223	8.308034	6.138264
ENSTRUG00000000235	0.2075395	0.0733474655	0.4677719	0
ENSTRUG00000000236	2.8128745	0.7064180475	1.110818	0
ENSTRUG00000000237	2.817816	1.2773392875	2.264221	0.6869343
ENSTRUG00000000238	0.58527015	0.514751807	1.129764	1.007319
ENSTRUG00000000240	4.6996515	2.846721478	2.749309	1.906925
ENSTRUG00000000241	2.963668	1.818802392	1.647176	0.1947427
ENSTRUG00000000242	6.520603	6.519120126	3.474605	9.164487
ENSTRUG00000000243	3.9027965	1.955456985	4.638213	1.362947
ENSTRUG00000000244	4.31216	2.3690509215	3.946875	1.284839
ENSTRUG00000000245	4.5706835	1.9116613145	4.0397	0.7636623
ENSTRUG00000000246	2.2562645	0.8689921775	1.536491	0.146852
ENSTRUG00000000247	4.445267	0.4106525635	8.275137	4.897148
ENSTRUG00000000248	4.5819725	2.6062195925	1.105752	0
ENSTRUG00000000249	0.21493075	0.4601724	0.4980619	0.2892229
ENSTRUG00000000250	0.49804685	0.2755877	0	0
ENSTRUG00000000251	3.0567455	1.9350087435	3.938206	0.3081766
ENSTRUG00000000252	5.951444	3.040576171	4.041445	0.6512275
ENSTRUG00000000253	2.961602	1.8855961465	2.542073	0.07565841
ENSTRUG00000000254	5.9042095	3.478738028	5.777144	2.754355
ENSTRUG00000000255	5.8116605	5.3878913675	7.441658	3.707933
ENSTRUG00000000256	0.34935035	0.1637735365	3.261934	0.6087657
ENSTRUG00000000257	0	0	0.08064307	0
ENSTRUG00000000258	2.7818605	3.4229190055	2.273622	0.4783268
ENSTRUG00000000259	0.2902641	0.164893044	0.8505771	0.1387902
ENSTRUG00000000260	5.2126385	3.6906640335	5.737484	3.204602
ENSTRUG00000000261	5.638452	2.8947434605	8.333683	6.579425
ENSTRUG00000000262	4.2371155	1.8777303215	5.88505	3.504761
ENSTRUG00000000263	4.492972	2.307712538	4.366637	0.5064455
ENSTRUG00000000264	0.60388475	0.8878553165	0	0
ENSTRUG00000000265	0.6707402	1.2527479875	0.1027418	0.7197661
ENSTRUG00000000266	0.10243231	0.0964411005	0.2553088	2.726179
ENSTRUG00000000267	3.0604035	2.9282185165	3.583375	0.3825984
ENSTRUG00000000268	5.405461	1.1148329465	1.818049	0.4430938
ENSTRUG00000000269	3.7336935	1.2487763045	4.138413	0.07649725
ENSTRUG00000000270	0.1494816	0.0281743275	0.0685935	0.6554059
ENSTRUG00000000271	2.249511	0.7174927695	1.415423	0.04112829
ENSTRUG00000000272	3.75082	1.2128870975	1.286525	0.1251681
ENSTRUG00000000273	4.9492085	2.8098226055	4.969206	2.588109
ENSTRUG00000000274	8.3403595	5.7608482065	9.193804	4.481564
ENSTRUG00000000275	4.345831	2.670230598	4.991266	2.235845
ENSTRUG00000000276	4.508755	2.598609209	4.112765	1.817489
ENSTRUG00000000277	5.466655	4.230656759	3.926762	1.235028
ENSTRUG00000000278	1.06958925	1.163086026	0	0.07307683
ENSTRUG00000000279	0.7481054	0.5321362025	1.392243	0.08313411
ENSTRUG00000000280	3.840663	2.8073504625	4.152097	0.4230525
ENSTRUG00000000281	0.1424387	0.8754941185	2.284191	0.379509
ENSTRUG00000000282	2.00679	0.7771079535	2.540164	0.1150494
ENSTRUG00000000283	0.46439085	0.2527630845	0.2314673	0.266555
ENSTRUG00000000284	4.8156365	2.875196564	3.935589	1.29143
ENSTRUG00000000285	0.43616325	0.107290586	0	0.07837674
ENSTRUG00000000286	2.238937	0.8447478515	1.432473	0.2311313
ENSTRUG00000000287	0.31648685	0.060831292	0.01731335	0.03083085
ENSTRUG00000000288	0	0	4.787652	0.09160845
ENSTRUG00000000289	1.9934765	0.6346085765	3.841268	0.06125832
ENSTRUG00000000290	0.021091225	0.008036895	0.02053164	1.532203
ENSTRUG00000000291	0.5903138	0.1002145715	1.042917	0.6417846
ENSTRUG00000000292	2.156464	1.6502855375	2.20974	3.35113
ENSTRUG00000000293	6.690447	4.9610087035	5.538873	1.520563
ENSTRUG00000000294	0.45261515	0.02382796	0.6663685	0.07443501
ENSTRUG00000000295	2.279156	1.1104716015	1.273059	0.07512718
ENSTRUG00000000296	0	0.1864588735	2.16301	0
ENSTRUG00000000297	3.97294	1.468653855	5.071939	1.923868
ENSTRUG00000000298	4.481515	2.3787262205	4.24751	2.55426
ENSTRUG00000000299	1.6035689	0.5613434795	0.8648323	0
