brain	liver	testis
ENSTBEG00000000062	4.98009284174457	3.86262907912771	NA
ENSTBEG00000000064	1.22179988434752	0.00755877282624156	NA
ENSTBEG00000000065	9.54517316763281	9.56287541618359	NA
ENSTBEG00000000066	0.422956172426348	0.0028557162868259	NA
ENSTBEG00000000067	4.77421963880607	4.16173243059697	NA
ENSTBEG00000000068	2.04246829223832	0.566526278880839	NA
ENSTBEG00000000071	2.51630257540697	1.14375146229651	NA
ENSTBEG00000000072	3.24484039579669	0.675726952101653	NA
ENSTBEG00000000074	0.215344140907853	8.13045460734813e-05	NA
ENSTBEG00000000076	0.319411316935177	0.00925164403241141	NA
ENSTBEG00000000077	0.746426906140769	0.831876546929615	NA
ENSTBEG00000000078	4.5048265740733	0.746594887963349	NA
ENSTBEG00000000079	0.403594824794331	0.711393212602834	NA
ENSTBEG00000000080	5.54582365305863	4.50269467347068	NA
ENSTBEG00000000081	3.03098099243867	0.203450063780665	NA
ENSTBEG00000000083	3.39613868702409	2.10195290648795	NA
ENSTBEG00000000084	1.22936592063034	1.66036328968483	NA
ENSTBEG00000000086	0.595598431608793	1.5920250341956	NA
ENSTBEG00000000087	0.00240175515712216	0.212196647421439	NA
ENSTBEG00000000089	0.541712154664414	2.86731027266779	NA
ENSTBEG00000000090	2.30835036767548	0.972080716162258	NA
ENSTBEG00000000091	3.71008117381819	1.87695416309091	NA
ENSTBEG00000000092	1.26903028480347	-0.000181142401737369	NA
ENSTBEG00000000093	5.62585238618079	3.12744355690961	NA
ENSTBEG00000000094	0.590861571340415	1.24698518932979	NA
ENSTBEG00000000095	6.15573817896562	3.85564816051719	NA
ENSTBEG00000000096	1.53488237692489	1.13251131153755	NA
ENSTBEG00000000097	2.09179962034232	2.40137893982884	NA
ENSTBEG00000000098	1.92827867037906	2.12922341481047	NA
ENSTBEG00000000099	2.7441859872769	0.000129256361549227	NA
ENSTBEG00000000100	4.58476172896308	3.03342713551846	NA
ENSTBEG00000000101	6.47152080960833	3.40968459519584	NA
ENSTBEG00000000102	5.81012894878448	6.06758877560776	NA
ENSTBEG00000000103	4.03350500222469	3.39015674888766	NA
ENSTBEG00000000104	1.48984987661571	1.73792446169214	NA
ENSTBEG00000000106	0.3088888523813	-0.000396176190650083	NA
ENSTBEG00000000107	1.43477338599565	0.820936882002176	NA
ENSTBEG00000000109	2.05532569744199	5.00122015127901	NA
ENSTBEG00000000110	5.54713363822127	1.95099368088936	NA
ENSTBEG00000000111	5.98254727831382	6.83373786084309	NA
ENSTBEG00000000112	0.647848927603787	0.256005236198106	NA
ENSTBEG00000000113	7.06712570070368	4.64265889964816	NA
ENSTBEG00000000114	4.04652181317896	3.27383259341052	NA
ENSTBEG00000000116	0.571239172375448	-0.000279636187724137	NA
ENSTBEG00000000117	1.53456548340518	0.967447758297411	NA
ENSTBEG00000000118	0.00286052750750215	0.252729486246249	NA
ENSTBEG00000000120	4.73813754118512	3.58254847940744	NA
ENSTBEG00000000121	0.318057168445673	0.0856510907771634	NA
ENSTBEG00000000122	4.2209893713944	3.6476348143028	NA
ENSTBEG00000000123	5.95339881994793	0.878935365026033	NA
ENSTBEG00000000124	3.34905469197935	3.03113015401032	NA
ENSTBEG00000000125	4.44572249994862	5.47052425002569	NA
ENSTBEG00000000126	4.89778766544708	2.97851541727646	NA
ENSTBEG00000000127	5.48955687102604	3.22741831448698	NA
ENSTBEG00000000128	3.25702124376922	3.02474137811539	NA
ENSTBEG00000000129	0.554047624312774	0.693162687843613	NA
ENSTBEG00000000130	5.74534888175209	4.89909455912396	NA
ENSTBEG00000000131	3.28432368810712	4.70912940594644	NA
ENSTBEG00000000132	4.52163127510198	3.05430286244901	NA
ENSTBEG00000000133	1.21346093809544	0.260992955952282	NA
ENSTBEG00000000134	2.33482972990233	0.489023510048834	NA
ENSTBEG00000000135	1.48429555371423	0.185449073142883	NA
ENSTBEG00000000136	8.22480628678894	1.20673788160553	NA
ENSTBEG00000000137	2.23790370096581	0.00027214951709593	NA
ENSTBEG00000000138	6.01389101386796	4.39277149306602	NA
ENSTBEG00000000139	1.11298350234105	3.51728939882947	NA
ENSTBEG00000000140	3.93283302610684	0.798047286946582	NA
ENSTBEG00000000141	5.30115971278463	2.67581214360769	NA
ENSTBEG00000000142	5.09511246841767	1.50106001579116	NA
ENSTBEG00000000143	7.08043690567671	4.92602654716165	NA
ENSTBEG00000000144	4.51484591034871	2.45495704482564	NA
ENSTBEG00000000145	5.8547736396012	3.0094381801994	NA
ENSTBEG00000000146	0.0635798935310921	-1.45926554607529e-06	NA
ENSTBEG00000000147	1.93462076646357	4.14857086676821	NA
ENSTBEG00000000148	6.8788991656525	3.44582491717375	NA
ENSTBEG00000000149	6.85779589027914	1.76411712986043	NA
ENSTBEG00000000150	4.41612864124828	5.03953167937586	NA
ENSTBEG00000000151	0.688576522846506	2.81783398857675	NA
ENSTBEG00000000152	5.88710372298567	1.55223388850716	NA
ENSTBEG00000000153	2.32379620091177	0.415311324544112	NA
ENSTBEG00000000154	3.40695763288642	2.56746293355679	NA
ENSTBEG00000000155	0.934436775437533	1.12845216228123	NA
ENSTBEG00000000156	2.53526691806483	0.830271965967586	NA
ENSTBEG00000000157	3.46684136937258	3.17648031531371	NA
ENSTBEG00000000159	3.79965734695717	0.202479951521417	NA
ENSTBEG00000000160	1.4524676196742	1.3107642651629	NA
ENSTBEG00000000162	1.73230991568125	0.00223329215937405	NA
ENSTBEG00000000163	4.61797853093356	5.03280248453322	NA
