liver	ovary	testis
ENSAMEG00000000323	NA	0.09047259	1.334883
ENSAMEG00000000324	NA	2.372069	1.986797
ENSAMEG00000000325	NA	3.889289	4.654075
ENSAMEG00000000326	NA	0.2845864	0.7145955
ENSAMEG00000000327	NA	7.583752	10.17562
ENSAMEG00000000328	NA	6.454622	6.817598
ENSAMEG00000000329	NA	3.855222	4.040121
ENSAMEG00000000330	NA	1.22384	4.016303
ENSAMEG00000000331	NA	1.999672	0.08235638
ENSAMEG00000000332	NA	0.18047	0.1973521
ENSAMEG00000000333	NA	4.448227	4.842265
ENSAMEG00000000334	NA	0.3109241	0.2101594
ENSAMEG00000000335	NA	0.05172053	0.1206751
ENSAMEG00000000336	NA	4.703173	3.160201
ENSAMEG00000000337	NA	9.374737	8.589644
ENSAMEG00000000338	NA	3.321729	2.502282
ENSAMEG00000000339	NA	3.284732	2.37252
ENSAMEG00000000340	NA	6.240454	5.093363
ENSAMEG00000000341	NA	0.5348196	0.2731817
ENSAMEG00000000342	NA	1.279198	0.6815095
ENSAMEG00000000343	NA	4.658657	2.751524
ENSAMEG00000000344	NA	2.096458	1.434914
ENSAMEG00000000345	NA	4.780929	4.27701
ENSAMEG00000000346	NA	0.9500077	2.802712
ENSAMEG00000000347	NA	1.50521	0.1621314
ENSAMEG00000000348	NA	7.786845	8.761412
ENSAMEG00000000349	NA	0.7763887	4.238466
ENSAMEG00000000350	NA	9.664047	10.69196
ENSAMEG00000000351	NA	0	1.759914
ENSAMEG00000000352	NA	2.761441	3.372706
ENSAMEG00000000353	NA	5.873845	3.06526
ENSAMEG00000000354	NA	0	1.888274
ENSAMEG00000000355	NA	4.346248	3.555534
ENSAMEG00000000356	NA	0	1.727916
ENSAMEG00000000357	NA	7.408134	4.042592
ENSAMEG00000000358	NA	0	1.677946
ENSAMEG00000000359	NA	3.096643	3.814684
ENSAMEG00000000360	NA	2.694934	2.214377
ENSAMEG00000000361	NA	1.531973	0.05837081
ENSAMEG00000000362	NA	6.11639	4.920427
ENSAMEG00000000363	NA	1.571361	0.221706
ENSAMEG00000000364	NA	5.578223	5.718967
ENSAMEG00000000365	NA	3.994435	3.111113
ENSAMEG00000000366	NA	3.894643	5.221142
ENSAMEG00000000367	NA	0.9741328	0.2826201
ENSAMEG00000000368	NA	2.832214	1.709882
ENSAMEG00000000369	NA	4.104437	4.362596
ENSAMEG00000000370	NA	4.400845	3.228602
ENSAMEG00000000371	NA	1.379144	0.4849754
ENSAMEG00000000372	NA	0.8652371	0.8499016
ENSAMEG00000000373	NA	2.438639	1.449625
ENSAMEG00000000374	NA	2.078992	2.078224
ENSAMEG00000000375	NA	7.188223	4.708154
ENSAMEG00000000376	NA	3.834378	5.687528
ENSAMEG00000000377	NA	2.54583	0.4334723
ENSAMEG00000000378	NA	0.8293609	0.1886959
ENSAMEG00000000379	NA	5.843195	6.05262
ENSAMEG00000000380	NA	3.467671	3.980153
ENSAMEG00000000381	NA	5.597412	1.499803
ENSAMEG00000000382	NA	1.327912	0.8505122
ENSAMEG00000000383	NA	0.3343989	0.02334209
ENSAMEG00000000384	NA	2.025397	4.749127
ENSAMEG00000000385	NA	5.825702	4.467664
ENSAMEG00000000387	NA	8.739901	8.308873
ENSAMEG00000000388	NA	2.17653	4.652653
ENSAMEG00000000389	NA	3.887827	2.781788
ENSAMEG00000000390	NA	0.2875893	1.122633
ENSAMEG00000000392	NA	0	0.4006177
ENSAMEG00000000393	NA	2.551954	2.195527
ENSAMEG00000000394	NA	0.3237345	0.1456329
