heart	kidney	liver	ovary
ENSANAG00000003202	2.48613	0.4696287	0.4243019	0.4580743
ENSANAG00000003203	2.077014	4.41609	6.30912	4.098756
ENSANAG00000003240	1.52188	1.42707	1.184331	1.286308
ENSANAG00000003260	7.421206	8.809546	8.337836	8.704927
ENSANAG00000003261	6.803292	6.882362	10.18624	6.626057
ENSANAG00000003264	0	0.2841315	0.09492772	0.1739014
ENSANAG00000003266	3.222104	2.910936	2.285103	3.251206
ENSANAG00000003280	6.394528	6.324422	5.674175	6.943558
ENSANAG00000003283	2.267554	1.510207	1.165674	1.244546
ENSANAG00000003291	0.4794406	0.5122117	0	0
ENSANAG00000003292	1.668972	3.247346	2.650064	1.004997
ENSANAG00000003296	0	0	0	0.3920756
ENSANAG00000003316	1.264506	1.851943	1.56286	2.186982
ENSANAG00000003325	0.4947474	2.873551	1.991173	4.867427
ENSANAG00000003355	1.251465	0.7387263	0.2495048	1.736228
ENSANAG00000003357	4.11782	4.22255	5.055278	4.34345
ENSANAG00000003359	5.190777	5.932382	5.642167	5.850174
ENSANAG00000003390	0	0	0	0.1950805
ENSANAG00000003391	0.6912912	0	2.42442	0
ENSANAG00000003392	3.370648	3.973905	2.509607	6.246197
ENSANAG00000003403	2.672242	2.376497	1.329353	2.681741
ENSANAG00000003416	0	5.101087	7.973904	0.9615492
ENSANAG00000003435	1.821804	3.137839	2.538096	2.578444
ENSANAG00000003436	0	0	4.867921	4.648983
ENSANAG00000003468	2.288267	1.918066	1.804235	1.231039
ENSANAG00000003477	7.292468	7.143701	6.689303	7.143351
ENSANAG00000003493	0.06946447	0	0	0
ENSANAG00000003519	0	0.5565824	0	0.1416107
ENSANAG00000003557	0.6126856	1.344187	0.5597962	0.8338147
ENSANAG00000003558	5.719216	4.036011	3.670489	4.827164
ENSANAG00000003591	5.920853	6.554156	5.968793	6.958588
ENSANAG00000003613	0	0.5956478	0.1617484	0
ENSANAG00000003673	0.8244159	1.139934	0.724163	1.991369
ENSANAG00000003678	0.96064	0.7839503	4.619859	0.7832898
ENSANAG00000003708	2.939477	3.601364	2.971492	4.426392
ENSANAG00000003718	2.69041	3.113027	2.035525	3.551528
ENSANAG00000003722	0	0.8236548	0	0.6113669
ENSANAG00000003723	5.70151	8.253982	6.672775	2.665426
ENSANAG00000003737	0	1.678748	0	0.5240456
ENSANAG00000003767	0	0	0	0.2880774
ENSANAG00000003768	1.387402	2.285849	3.384299	3.623857
ENSANAG00000003812	5.469469	4.566541	4.185312	5.770279
ENSANAG00000003815	4.833214	2.372817	3.516173	3.140216
ENSANAG00000003836	2.125806	2.267551	1.223639	2.47413
ENSANAG00000003837	4.495881	3.494838	0.7686637	3.277421
ENSANAG00000003838	4.875996	3.131748	1.734787	2.823028
ENSANAG00000003873	0.05736639	0.6030611	0	0
ENSANAG00000003874	1.560598	5.626441	4.32917	4.312126
ENSANAG00000003887	0.3446672	0	0.4902857	0.06953019
ENSANAG00000003962	0	0	1.487589	2.138002
ENSANAG00000003964	0.8899392	0.4760612	0	0
ENSANAG00000003965	6.034595	4.456843	3.629606	5.929521
ENSANAG00000003990	0	0	1.573724	0.5610905
ENSANAG00000004012	0.9018023	0.01686554	0.03192185	1.652321
ENSANAG00000004035	7.407065	7.330013	7.2646	8.340658
ENSANAG00000004036	8.1161	8.015465	6.252964	7.833782
ENSANAG00000004037	0.4142709	0.8581712	0	2.61083
ENSANAG00000004074	0	0.03456789	0	0.1093123
ENSANAG00000004086	2.639542	3.510038	4.337576	3.830093
ENSANAG00000004121	4.540071	4.875382	5.25983	5.381965
ENSANAG00000004123	3.349985	3.095904	2.162953	3.135953
ENSANAG00000004124	0.9637434	0	0.3293774	0
ENSANAG00000004151	5.469941	5.389474	4.904992	6.060424
ENSANAG00000004152	4.474288	3.885527	3.407321	5.162446
ENSANAG00000004172	0	0	0	0.2771457
ENSANAG00000004180	7.862852	9.040054	8.391682	9.186851
ENSANAG00000004226	3.329415	4.729058	3.849649	4.302655
ENSANAG00000004230	3.581446	4.434019	4.508783	3.765395
