brain	heart	liver
ENSMGAG00000000725	7.87701990461464	5.4004181632765	2.87543621800633
ENSMGAG00000000726	5.08594990855625	4.63433825249798	4.97926416296126
ENSMGAG00000000727	0.135124408540037	0.093237952042743	0.0207171287265856
ENSMGAG00000000729	1.93295809912121	1.35402837752266	0.10330142461152
ENSMGAG00000000730	0.603087543685787	1.36786520052598	2.47340874427731
ENSMGAG00000000731	3.16952307111081	2.73535076519043	2.62179524999911
ENSMGAG00000000732	5.53157930283099	5.49563522069181	6.25104176848371
ENSMGAG00000000733	1.99153138071349	0.75205922366746	1.62281701579932
ENSMGAG00000000734	0.335913352338402	0.340985321701886	0.322906060685509
ENSMGAG00000000735	-0.00183106654637812	-0.00117496358209384	0.00760846866319426
ENSMGAG00000000736	5.94796076950702	5.64221285444038	6.19175509039472
ENSMGAG00000000737	0.764458491513016	0.0269794554402995	0.310055928676203
ENSMGAG00000000738	5.8985983875731	6.01173192041426	5.32304615043761
ENSMGAG00000000739	0.253663574643785	0.222794983714138	0.0349891441014834
ENSMGAG00000000740	0.0242446372313397	0.00258573815645635	0.0300443478658599
ENSMGAG00000000741	0.831583377928238	-0.0673716384135932	1.90009905041811
ENSMGAG00000000742	7.04901583774337	3.84545370031678	2.65054824402847
ENSMGAG00000000743	1.40740527958696	0.157049348641869	0.20463826447941
ENSMGAG00000000744	1.64999410638685	2.99795857906865	0.21232113474607
ENSMGAG00000000745	3.45101666010287	2.98757150308071	2.86655970458316
ENSMGAG00000000746	4.02435833247377	0.188390436301557	0.615262471660479
ENSMGAG00000000747	8.33418642643457	3.1119339388187	3.24511978289052
ENSMGAG00000000748	5.89923473744367	5.06656663019353	3.84092438997343
ENSMGAG00000000749	7.15040385633707	3.39143594339567	1.42868661683376
ENSMGAG00000000750	6.14233671217364	4.404355265686	3.56006358702883
ENSMGAG00000000752	2.95121627075856	2.43294789222727	2.30438486258155
ENSMGAG00000000753	3.11544155758839	1.14688718865823	1.17806632103813
ENSMGAG00000000754	3.34266523367132	2.79612011323081	1.98883379121276
ENSMGAG00000000755	4.12628099652298	3.58536050421914	3.70859037639848
ENSMGAG00000000756	5.20354132621888	0.793338962437119	0.0397070248885745
ENSMGAG00000000757	1.37221238789936	5.27258701943084	0.450795931049862
ENSMGAG00000000758	0.819115829766989	0.159069820205372	0.301624855876885
ENSMGAG00000000759	3.35974192690397	0.889780425434047	0.527600919615699
ENSMGAG00000000760	6.2814028769026	5.45041961351419	4.31143285477372
ENSMGAG00000000761	2.8850178632226	3.94160456679892	4.35059216005605
ENSMGAG00000000762	0.409507287939496	0.697668010159204	0.846646872500928
ENSMGAG00000000763	4.7227067597726	5.04152800565048	0.215851993197798
ENSMGAG00000000764	4.34540397222416	3.25701853777897	3.57788590192634
ENSMGAG00000000765	4.287322619999	4.16089740187001	3.32828642495071
ENSMGAG00000000766	6.67258102990317	4.39022238350033	5.03874776806893
ENSMGAG00000000767	0.0451554442952272	0.0365540579340622	0.0412192320505076
ENSMGAG00000000768	6.18466986947396	5.51165065853887	4.30341717556227
ENSMGAG00000000769	0.565747431302416	0.00500842778606819	-0.00149381649177425
ENSMGAG00000000770	9.23825051042628	7.94254345086056	8.75917436829512
ENSMGAG00000000771	3.91789786921033	5.71560300784498	3.91507984853192
ENSMGAG00000000772	0.0187821215667997	-0.0051199875881597	0.0438961033724
ENSMGAG00000000773	0.107364079718709	0.335741866548209	0.0487208853807723
ENSMGAG00000000775	3.50414403190607	2.45213203009433	1.13436837585686
ENSMGAG00000000777	5.43373083127279	2.53610503577167	2.45978201296824
ENSMGAG00000000778	5.65317906883351	5.36377648439207	5.29419534048173
ENSMGAG00000000779	3.86931157110419	3.47645541847178	2.57372739958859
ENSMGAG00000000780	3.96310008827795	3.47908017752368	3.18138951342741
ENSMGAG00000000782	6.13437861595154	4.34495849996992	8.34500881798467
ENSMGAG00000000783	6.07298826379781	0.196416110821884	0.236852725414506
ENSMGAG00000000784	3.22506098789143	0.00985509059945497	0.0245465505065113
ENSMGAG00000000785	2.60535840433165	1.27858650465945	1.4757391063635
ENSMGAG00000000786	1.21048867994333	1.73575807423608	0.442538333443277
ENSMGAG00000000787	1.40937111117622	3.54720742768931	6.85610947631034
ENSMGAG00000000789	3.96836446529688	5.19941443160199	3.95422251300081
ENSMGAG00000000790	4.61193437638339	4.71843528818793	4.66661952966334
ENSMGAG00000000791	0.402071267056346	2.18683249054861	0.0691876203536024
ENSMGAG00000000792	7.68974295356161	2.93678917826966	1.24753261554909
ENSMGAG00000000793	0.133052143277658	0.0388331777891986	0.0153948830951026
ENSMGAG00000000794	8.30848402797287	12.1076671096549	1.76712934626584
ENSMGAG00000000795	0.00759888086754509	0.00570810943234958	6.41412143609482e-05
ENSMGAG00000000797	0.776087666848688	0.470518305492841	0.70329822832748
