brain	heart	kidney	liver
ENSRBIG00000000949	5.306635	4.068679	4.496213	2.971564
ENSRBIG00000000968	5.205608	3.890525	4.465681	4.351911
ENSRBIG00000000982	3.626474	1.30095	0	0
ENSRBIG00000000985	9.111574	4.66384	5.59456	4.80555
ENSRBIG00000000986	4.839829	5.678548	5.603564	5.960146
ENSRBIG00000000994	0.06956923	0.02026053	0.1013774	1.118508
ENSRBIG00000001012	0	0	0.2334684	0
ENSRBIG00000001014	1.641847	0.5360101	3.08603	1.200335
ENSRBIG00000001035	4.741402	4.37838	3.725785	1.847913
ENSRBIG00000001038	4.582511	3.578949	4.212537	3.380143
ENSRBIG00000001061	5.918043	6.554632	6.543046	2.037544
ENSRBIG00000001068	0	0	0.04113544	0
ENSRBIG00000001069	3.216114	0	3.761742	0
ENSRBIG00000001079	0.04194859	0.0238641	0.02058654	0.03100991
ENSRBIG00000001080	3.437587	2.092272	3.237019	2.305918
ENSRBIG00000001091	1.719043	0.7163729	0.5903146	0.2408064
ENSRBIG00000001104	7.351142	7.522487	5.44294	5.638694
ENSRBIG00000001118	8.393854	1.8189	5.405084	4.689456
ENSRBIG00000001120	0.9313533	1.061721	1.008401	1.818057
ENSRBIG00000001121	1.301845	0.3301924	0.4778638	2.211134
ENSRBIG00000001132	0.4145997	2.473117	2.721214	0.2298296
ENSRBIG00000001134	0.4123805	2.103363	1.570239	1.116691
ENSRBIG00000001135	3.025582	1.26368	0	0.04778281
ENSRBIG00000001136	1.986739	1.943638	1.836018	1.554032
ENSRBIG00000001144	2.233526	1.390106	1.558126	1.335518
ENSRBIG00000001173	2.515659	2.065328	2.462874	2.164905
ENSRBIG00000001182	0.7502721	0	0.2660213	0.1121081
ENSRBIG00000001203	1.02471	0.08838804	3.513465	0.05814274
ENSRBIG00000001243	0.1221004	0	0	0
ENSRBIG00000001244	0.1709083	0	0	0
ENSRBIG00000001268	2.924488	1.461657	2.867242	1.173339
ENSRBIG00000001277	5.416984	5.369257	1.17061	1.257112
ENSRBIG00000001282	1.960682	4.527077	2.734729	0.1883566
ENSRBIG00000001283	0.0253156	0.01519567	1.21844	0
ENSRBIG00000001284	7.461054	7.261211	7.706586	5.243882
ENSRBIG00000001292	4.512442	1.681094	1.752312	0.6166475
ENSRBIG00000001302	5.286464	1.491181	0.4613358	0
ENSRBIG00000001303	4.387363	3.154058	3.483326	3.529134
ENSRBIG00000001326	3.125859	0.8627997	0.4079618	0
ENSRBIG00000001337	0	0	0.4318529	0.8977175
ENSRBIG00000001344	0.5600213	1.587255	2.318933	1.487306
ENSRBIG00000001345	3.494812	1.945477	2.696995	2.993256
ENSRBIG00000001369	0.3909428	0.6697878	0.3115624	0.2928029
ENSRBIG00000001373	3.207221	3.214816	3.9297	3.828207
ENSRBIG00000001397	1.543511	0	0	0
ENSRBIG00000001398	1.34301	0	4.895598	0.1998714
ENSRBIG00000001399	3.927337	0.7380345	0.5378228	0.2150784
ENSRBIG00000001400	1.824727	1.642378	2.151096	0.7384695
ENSRBIG00000001415	0	0.4113666	0.2591893	0
ENSRBIG00000001417	1.194445	0.1682377	0.9920839	0.1010136
ENSRBIG00000001418	4.001677	2.665647	3.103199	2.737552
ENSRBIG00000001442	3.226297	2.481017	3.547252	2.228129
ENSRBIG00000001443	0.9467847	0.2053487	2.833239	1.575849
ENSRBIG00000001445	2.029064	1.916148	0.7678488	0.1571188
ENSRBIG00000001456	2.558427	1.683422	1.083635	0.8495518
ENSRBIG00000001458	3.24743	2.835219	4.366013	3.910087
ENSRBIG00000001481	3.850451	0	1.689227	0.01759772
ENSRBIG00000001482	4.934747	3.693649	5.922631	5.345298
ENSRBIG00000001500	4.511691	3.25071	4.356165	3.279898
ENSRBIG00000001516	3.445614	2.06855	2.144569	0.9075391
ENSRBIG00000001529	0.6046862	1.157354	1.697297	1.8143
ENSRBIG00000001561	8.356465	8.301876	7.554996	7.028005
ENSRBIG00000001565	5.217308	4.374441	5.205835	4.143861
ENSRBIG00000001566	3.79617	0.7971317	0.92169	0.2606988
ENSRBIG00000001573	5.26457	1.77334	2.510251	0.7633903
ENSRBIG00000001610	10.72002	10.69523	8.372478	7.923295
ENSRBIG00000001622	1.999203	0.7916716	1.701134	0.7486304
ENSRBIG00000001662	2.357566	0	0.3677222	1.802586
ENSRBIG00000001663	7.376962	4.800596	5.355065	4.458907
ENSRBIG00000001675	3.079516	3.230852	6.247375	5.656651
ENSRBIG00000001691	0.6569613	0.4913257	0.9037109	0.4497473
ENSRBIG00000001692	3.430358	1.928188	3.150483	1.591995
ENSRBIG00000001734	3.772508	1.676791	4.390261	3.170614
ENSRBIG00000001743	0.1368712	0	0	0
ENSRBIG00000001744	4.54666	0.06379076	0.2017919	0
ENSRBIG00000001758	4.523169	1.749971	4.023005	2.825904
ENSRBIG00000001779	4.396747	0.5584528	0.5923425	0.315019
ENSRBIG00000001782	1.995752	4.989598	2.734352	1.145397
ENSRBIG00000001795	10.33293	10.33939	8.782802	7.678804
