brain	testis
ENSTGUG00000000182	5.34786399344549	4.9386086863302
ENSTGUG00000000183	5.74840380085703	4.07852726409558
ENSTGUG00000000184	7.22124571081944	6.65599086754168
ENSTGUG00000000185	0.263264206223551	0.556440847996013
ENSTGUG00000000186	4.87849332650323	5.57822568715698
ENSTGUG00000000187	0.940344213449615	2.71046472631782
ENSTGUG00000000188	0.342696741430322	1.19638167570903
ENSTGUG00000000189	5.85149515422576	3.51324953732273
ENSTGUG00000000190	2.20128758775774	5.17356457006013
ENSTGUG00000000191	3.69319106167911	5.89017081496266
ENSTGUG00000000192	0.328239762287241	4.37860137980494
ENSTGUG00000000193	8.41666803280039	8.66200490159882
ENSTGUG00000000194	0.115183932138327	2.20336640691835
ENSTGUG00000000195	0.935077176372604	2.93307693754885
ENSTGUG00000000196	4.5138702879226	4.30098646956552
ENSTGUG00000000197	0.291465670149744	5.4376627228841
ENSTGUG00000000198	3.97258889087546	0.256667494040279
ENSTGUG00000000199	4.11232522426706	3.20962932719882
ENSTGUG00000000200	6.16928727251584	7.01757684911915
ENSTGUG00000000201	3.55134395837124	3.66573845821962
ENSTGUG00000000202	4.5809608041159	4.45946758765229
ENSTGUG00000000203	0.691383303261246	1.14018162354959
ENSTGUG00000000204	9.67508542375707	9.60133639539547
ENSTGUG00000000205	3.18270580734504	3.97568891129821
ENSTGUG00000000206	2.74079077873854	3.12028933045106
ENSTGUG00000000207	0.620623190571476	0.0679506282855728
ENSTGUG00000000208	2.4911363920315	4.95888649057218
ENSTGUG00000000209	1.88590059870618	1.82505253721479
ENSTGUG00000000210	1.00044009456046	0.382938816318627
ENSTGUG00000000211	3.02150613556973	0.853258326624135
ENSTGUG00000000212	5.05875185549414	4.84496276685091
ENSTGUG00000000213	0.024556533628917	0.563046332446582
ENSTGUG00000000214	0.45571431421455	2.52097338402302
ENSTGUG00000000215	0.0629441039107776	0.481886368267667
ENSTGUG00000000216	0.256915424204475	0.061171284053241
ENSTGUG00000000217	0.219181687478669	0.555057670897327
ENSTGUG00000000218	2.90119470378105	0.386152055323522
ENSTGUG00000000219	3.48603771470527	4.35416518921753
ENSTGUG00000000220	0.118297231610924	0.965963338500561
ENSTGUG00000000221	4.57498560580027	3.44566018259919
ENSTGUG00000000222	2.07101326830177	0.379620861761351
ENSTGUG00000000223	2.19629580713296	3.41231117860113
ENSTGUG00000000225	0.32057189375787	0.420202422059724
ENSTGUG00000000226	0.210346935532269	0.313351490069859
ENSTGUG00000000227	1.06015751458402	0.452203679581269
ENSTGUG00000000228	0.222746250056824	3.83741261316286
ENSTGUG00000000229	0.429918971036845	2.0818787202228
ENSTGUG00000000230	3.5221014488582	2.22326132009207
ENSTGUG00000000231	3.08383810037288	5.22924636554801
ENSTGUG00000000232	1.16552977789338	0.747933399653208
ENSTGUG00000000233	8.5369660271481	6.77870458522235
ENSTGUG00000000234	0.119036907666544	-0.0280602896663
ENSTGUG00000000235	0.0316100277648757	1.05223118337204
ENSTGUG00000000236	6.43452294018332	5.69223951278336
ENSTGUG00000000237	4.72420030954767	7.17436540469033
ENSTGUG00000000238	2.97320066276152	3.27044601171543
ENSTGUG00000000239	1.23251376537759	3.14841703720055
ENSTGUG00000000240	1.76011392872058	5.16712828050493
ENSTGUG00000000241	5.61772114447764	2.1019268999004
ENSTGUG00000000242	3.97712920050429	2.74291106515379
ENSTGUG00000000243	7.41356237483367	7.34072687549898
ENSTGUG00000000244	4.00032251707772	4.4292931154335
ENSTGUG00000000245	2.75889492397004	7.28104456142323
ENSTGUG00000000246	2.2489515590172	0.998317089615055
ENSTGUG00000000247	4.13053400758123	4.44571764392298
ENSTGUG00000000248	0.310785586078198	0.879730741765405
ENSTGUG00000000249	0.0117281394694939	0.490241354924852
ENSTGUG00000000250	4.02692035244043	5.33214727601203
ENSTGUG00000000251	0.501934331096734	0.375372706709798
