brain	kidney	liver	testis
ENSPMAG00000000122	3.07014412280499	NA	NA	7.50386077295013
ENSPMAG00000000123	5.15022264746431	NA	NA	2.88461917435688
ENSPMAG00000000124	7.64840494675078	NA	NA	5.80897512349223
ENSPMAG00000000125	4.16049396943178	NA	NA	2.16914756668218
ENSPMAG00000000126	3.55994518617596	NA	NA	4.74970983124038
ENSPMAG00000000127	2.73692386544694	NA	NA	1.15017096153058
ENSPMAG00000000128	6.62570810569888	NA	NA	5.3355692310112
ENSPMAG00000000129	3.19323064273391	NA	NA	0.276303410660938
ENSPMAG00000000130	6.19272260170594	NA	NA	7.06346888294061
ENSPMAG00000000131	4.72375859761988	NA	NA	4.53616290680117
ENSPMAG00000000132	1.97716557492347	NA	NA	2.46748692976526
ENSPMAG00000000133	1.07373242332829	NA	NA	1.27761266771706
ENSPMAG00000000134	1.07593978589973	NA	NA	-0.133007954997293
ENSPMAG00000000135	0.79713667581816	NA	NA	5.7583081758184
ENSPMAG00000000136	4.65369234448909	NA	NA	3.97756662910907
ENSPMAG00000000137	4.513030657312	NA	NA	3.46749557188002
ENSPMAG00000000138	3.28256559448794	NA	NA	10.9890788121206
ENSPMAG00000000139	3.96236244544544	NA	NA	7.52377031254561
ENSPMAG00000000140	3.17333755549918	NA	NA	0.638714462008165
ENSPMAG00000000141	5.79605222912279	NA	NA	4.75379656977213
ENSPMAG00000000142	4.44912449969962	NA	NA	3.00924605600385
ENSPMAG00000000143	1.55632225076176	NA	NA	1.58297945938236
ENSPMAG00000000144	8.99426898700476	NA	NA	8.34882750295237
ENSPMAG00000000145	2.3956224970948	NA	NA	1.04398624105198
ENSPMAG00000000146	4.83801705638145	NA	NA	8.51356712418545
ENSPMAG00000000147	3.353782512374	NA	NA	2.35014311725999
ENSPMAG00000000148	1.79088813860157	NA	NA	-0.145406668015716
ENSPMAG00000000149	1.67266960686643	NA	NA	0.200332574335712
ENSPMAG00000000150	0.890594729076238	NA	NA	2.51752927923762
ENSPMAG00000000151	2.93666378568779	NA	NA	3.59868047712206
ENSPMAG00000000152	4.00768253112819	NA	NA	5.82730543771807
ENSPMAG00000000153	1.02684286662998	NA	NA	1.61210344370022
ENSPMAG00000000154	1.41021237996573	NA	NA	1.81723119934271
ENSPMAG00000000155	1.25388290282736	NA	NA	5.03747993172644
ENSPMAG00000000156	2.25433770351402	NA	NA	2.7817215538598
ENSPMAG00000000157	3.06114374708699	NA	NA	4.60987818413012
ENSPMAG00000000158	7.09228613910922	NA	NA	7.93502452790775
ENSPMAG00000000159	4.07716380575084	NA	NA	6.21331927549159
ENSPMAG00000000160	5.08822648039452	NA	NA	5.13533799205483
ENSPMAG00000000161	2.59505141649475	NA	NA	1.40287141005248
ENSPMAG00000000162	7.8495556098477	NA	NA	7.84200507952304
ENSPMAG00000000163	5.3447350048178	NA	NA	6.97519245882203
ENSPMAG00000000164	3.58270597102782	NA	NA	3.67014408972184
ENSPMAG00000000165	7.20226722258517	NA	NA	3.11820014614827
ENSPMAG00000000166	5.48325676795666	NA	NA	7.10781883643337
ENSPMAG00000000167	4.30761793210752	NA	NA	0.0628352589247892
ENSPMAG00000000168	3.87193462854864	NA	NA	1.35175127251362
ENSPMAG00000000169	1.40747244385696	NA	NA	2.75184725143038
ENSPMAG00000000170	1.32990207972021	NA	NA	1.95329914479791
ENSPMAG00000000171	6.75427203440604	NA	NA	4.21749681993958
