heart	kidney	liver
ENSDNOG00000000442	0	0.1149075	1.582859
ENSDNOG00000000443	3.541981	4.05133	1.641785
ENSDNOG00000000444	0.6846751	2.11464	2.270956
ENSDNOG00000000445	0.2894343	2.105396	0.2346509
ENSDNOG00000000446	1.250016	3.570414	4.090582
ENSDNOG00000000448	0	0	0.156847
ENSDNOG00000000449	1.795235	3.259093	2.872846
ENSDNOG00000000450	3.454935	0.6302424	1.631607
ENSDNOG00000000451	1.036787	2.68893	4.206932
ENSDNOG00000000456	3.028659	4.385683	3.837378
ENSDNOG00000000458	0.4011422	1.849275	2.101058
ENSDNOG00000000459	0	0.5624549	0
ENSDNOG00000000463	1.434999	2.467452	2.55065
ENSDNOG00000000464	1.920392	4.132009	2.735587
ENSDNOG00000000465	0	0	0.8143207
ENSDNOG00000000466	0.0577278	0	0
ENSDNOG00000000467	1.288187	2.416902	3.273916
ENSDNOG00000000477	0	0.177428	0
ENSDNOG00000000478	0	0.1917572	0
ENSDNOG00000000479	0	0.5237787	0
ENSDNOG00000000480	6.30821	7.033236	5.434595
ENSDNOG00000000483	2.290277	3.805034	4.121372
ENSDNOG00000000486	0.6236908	0.7556892	0.2118271
ENSDNOG00000000488	0.8868607	3.179552	0.7898519
ENSDNOG00000000491	0	0.2555986	6.358108
ENSDNOG00000000495	1.540017	2.622497	2.196475
ENSDNOG00000000503	0.3260782	1.377374	0.935585
ENSDNOG00000000509	3.086213	4.044962	3.3182
ENSDNOG00000000513	0.8746821	1.043918	2.311535
ENSDNOG00000000515	0.1026456	0.1325342	0.4819685
ENSDNOG00000000516	0.2469261	0.4150902	0.2977683
ENSDNOG00000000524	1.096663	2.364532	1.967614
ENSDNOG00000000525	0.3891174	0.6137306	1.894201
ENSDNOG00000000526	0	0.3609081	0
ENSDNOG00000000527	4.065357	3.363663	4.017503
ENSDNOG00000000529	0.2326153	0.8809966	0.3980296
ENSDNOG00000000536	1.796776	3.449952	3.807355
ENSDNOG00000000537	0.7670598	2.21208	1.492298
ENSDNOG00000000538	0.3546733	1.349863	1.20041
ENSDNOG00000000540	0	1.628517	0.5776014
ENSDNOG00000000543	1.220146	2.339955	2.024744
ENSDNOG00000000545	2.993432	5.827359	5.011169
ENSDNOG00000000546	1.846702	2.097709	2.611878
ENSDNOG00000000548	1.248426	1.92341	1.803878
ENSDNOG00000000549	1.943573	3.845942	3.836429
ENSDNOG00000000551	0.5954387	1.41997	1.478615
ENSDNOG00000000559	1.21461	3.413571	3.068177
ENSDNOG00000000562	4.719939	0.2435838	0.376526
ENSDNOG00000000567	3.621489	5.221757	4.704889
ENSDNOG00000000570	0	0.1196376	0
ENSDNOG00000000572	1.68287	3.660552	3.930472
ENSDNOG00000000577	1.083751	2.397253	2.397948
ENSDNOG00000000578	2.224059	4.546512	3.784431
ENSDNOG00000000580	0.7445323	1.224837	1.253626
ENSDNOG00000000581	1.023156	2.381931	2.377296
ENSDNOG00000000584	0.02075052	0.1076054	0.0909515
ENSDNOG00000000589	2.539015	4.705066	3.442037
ENSDNOG00000000591	1.647384	3.073448	2.426359
ENSDNOG00000000596	4.137536	4.968312	4.908674
ENSDNOG00000000603	0.47347	0.383832	0.5418518
ENSDNOG00000000605	0.9016203	1.448848	1.856201
ENSDNOG00000000607	0.1555498	3.017518	7.641128
ENSDNOG00000000609	0	1.276526	0
ENSDNOG00000000612	1.607205	4.958235	5.746909
ENSDNOG00000000613	0.904696	4.940519	2.433862
ENSDNOG00000000614	0.5757625	0.1633789	0.0521155
ENSDNOG00000000622	3.493353	2.633764	1.355095
ENSDNOG00000000623	0.08386186	0.2235078	0.8249405
ENSDNOG00000000625	0.8277995	0.1844999	0.1725016
ENSDNOG00000000626	0.6417254	1.410015	8.650754
ENSDNOG00000000633	0	0.1508729	0.4601659
ENSDNOG00000000635	0.1190771	0.48026	0.4189455
ENSDNOG00000000639	0.08753969	1.259218	0
ENSDNOG00000000640	0.131565	0.3125688	0.5042889
ENSDNOG00000000641	0.0873682	0.1411882	0.1911255
ENSDNOG00000000643	0.298175	0.5727684	2.419248
ENSDNOG00000000644	0.08991503	0.1449047	0
ENSDNOG00000000646	1.198972	3.71264	3.841822
ENSDNOG00000000647	2.765199	0.7219474	0
ENSDNOG00000000648	1.646232	2.670133	0.5654773
ENSDNOG00000000650	0	0.08621011	0
ENSDNOG00000000653	7.040991	9.498742	9.672938
ENSDNOG00000000654	2.573845	3.783436	5.688214
ENSDNOG00000000661	3.582568	6.032017	5.072385
ENSDNOG00000000662	0.1457427	0	0.4129051
ENSDNOG00000000666	3.161401	4.20335	3.774882
ENSDNOG00000000669	1.106013	0	0.04951521
ENSDNOG00000000672	1.54222	3.594062	2.640123
ENSDNOG00000000674	0	0.5495282	0.4561059
ENSDNOG00000000676	0.3854465	0	0
ENSDNOG00000000678	2.563124	4.369214	4.086741
ENSDNOG00000000682	1.236003	2.88863	2.618417
ENSDNOG00000000687	1.148889	1.888757	2.519995
ENSDNOG00000000688	0.06134529	0.4601145	0.2460651
ENSDNOG00000000693	0.5234744	1.219308	2.551936
ENSDNOG00000000695	3.304917	3.701771	6.504932
ENSDNOG00000000697	4.079822	4.301427	1.429118
ENSDNOG00000000698	2.005713	3.119851	3.212233
ENSDNOG00000000706	2.218738	4.428203	3.343914
ENSDNOG00000000708	0.8964416	2.96234	3.515637
ENSDNOG00000000712	1.310761	0.838404	2.783907
