brain	kidney	liver
ENSCSAG00000000205	4.64785674533333	3.5249087	5.343211152
ENSCSAG00000000206	5.05524513	6.771147084	7.523922097
ENSCSAG00000000207	0	0	0.973164137
ENSCSAG00000000208	2.271518918	0	0
ENSCSAG00000000209	3.13738632933333	4.0526717135	2.2096003995
ENSCSAG00000000210	4.20478277333333	3.115362507	4.833431367
ENSCSAG00000000211	3.59712093966667	2.1164714665	3.049867556
ENSCSAG00000000212	3.589311835	0	0
ENSCSAG00000000213	4.55243264366667	5.9872801665	4.928703919
ENSCSAG00000000214	5.278393637	2.0128988765	5.219634839
ENSCSAG00000000215	0.107578024333333	0.12130092	0.2076126245
ENSCSAG00000000216	4.520353094	4.3791997075	4.79305824
ENSCSAG00000000217	6.67884919966667	3.6222480735	7.9309311505
ENSCSAG00000000218	2.12188704433333	0.205780373	2.3297467535
ENSCSAG00000000219	6.52290078033333	5.837697243	7.26341011
ENSCSAG00000000220	1.202644664	0.2312352985	1.764938643
ENSCSAG00000000221	5.74961158633333	4.4844719515	6.78731028
ENSCSAG00000000222	0.101429301	0.111527371	0.273835465
ENSCSAG00000000223	0.474011158	0	0
ENSCSAG00000000224	0.223348455333333	0	0
ENSCSAG00000000225	3.68142647066667	0.08915208	0
ENSCSAG00000000226	3.14234491233333	0.187149092	0.0618378
ENSCSAG00000000227	3.81191650633333	1.1846362775	1.057485521
ENSCSAG00000000228	1.80428709766667	0.021036935	0.0627265
ENSCSAG00000000229	4.323390893	0	0
ENSCSAG00000000230	3.85937517833333	0.5677543015	0.541004
ENSCSAG00000000231	0	0	0
ENSCSAG00000000232	0	0.4029441995	0
ENSCSAG00000000233	2.346136407	1.723741043	1.5483869555
ENSCSAG00000000234	3.24508120766667	1.870378536	0.5455113755
ENSCSAG00000000235	3.05292595866667	3.2101531395	2.501008994
ENSCSAG00000000236	3.36076384766667	5.2755960775	3.935512134
ENSCSAG00000000237	2.584673534	2.15548724	4.736235346
ENSCSAG00000000238	3.61147810266667	1.718843309	3.734617411
ENSCSAG00000000239	2.06598659133333	3.660101372	1.3703312845
ENSCSAG00000000240	1.97262526133333	0.031575427	0
ENSCSAG00000000241	0.232879834666667	0	0
ENSCSAG00000000242	0	0	0
ENSCSAG00000000243	1.295740534	0.0500548	0.198449094
ENSCSAG00000000244	9.59635276266667	12.8220314925	10.0844332265
ENSCSAG00000000245	7.09955017866667	9.4010348315	9.109274647
ENSCSAG00000000246	0.243122824666667	0.0771453535	0.6002784215
ENSCSAG00000000247	2.96059972733333	5.3883469235	3.070372176
ENSCSAG00000000248	3.57143879166667	0	2.4742190945
ENSCSAG00000000249	8.510663961	9.8847305555	7.201144114
ENSCSAG00000000250	4.23002058533333	4.3156057095	4.67147365
ENSCSAG00000000251	0.293944319	0.0532015655	0
ENSCSAG00000000252	0.168552411666667	0.18479465	0
ENSCSAG00000000253	2.50895087833333	7.3989493095	4.661051544
ENSCSAG00000000254	2.39469327866667	3.038513615	1.657699904
ENSCSAG00000000255	5.040046981	2.275960435	5.0458426035
ENSCSAG00000000256	0.486085333333333	0.485175416	0
ENSCSAG00000000257	4.59051055666667	4.3669025565	5.0826483545
ENSCSAG00000000258	3.78553364333333	1.523784952	0.111233237
ENSCSAG00000000259	3.61353469933333	1.1311833025	2.221827542
ENSCSAG00000000260	0.546625263333333	0	0
ENSCSAG00000000261	2.27981767066667	2.4319498145	2.3886093895
ENSCSAG00000000262	0	0	0
ENSCSAG00000000263	0.0345764333333333	0.6682411545	0.03106521
ENSCSAG00000000264	0.638485333333333	0.2661405	0.760045
ENSCSAG00000000265	1.78365079533333	0.6572480865	2.0341799705
ENSCSAG00000000266	0.104500851	0	0
ENSCSAG00000000267	0.0595974666666667	0	0
ENSCSAG00000000268	0.252494433	0.1124103495	0
ENSCSAG00000000269	2.77845643466667	0.306547579	0.28906505
ENSCSAG00000000270	4.182975807	0.741062732	1.0440165085
ENSCSAG00000000271	4.25089425633333	5.9037136305	0.34177905
ENSCSAG00000000272	4.592785954	1.434889679	1.023973104
ENSCSAG00000000273	1.43200261133333	0	1.457458272
ENSCSAG00000000274	5.88239387066667	5.0557320455	6.5270296535
ENSCSAG00000000275	0.431072478666667	0	0
ENSCSAG00000000276	0	0	0
ENSCSAG00000000277	1.78206832733333	2.5876587925	5.684800738
ENSCSAG00000000278	0	0	0.1794665
ENSCSAG00000000279	2.980992153	2.3086247415	3.8151703765
ENSCSAG00000000280	0.985649666666667	0	0
ENSCSAG00000000281	0.561498741	0	0
ENSCSAG00000000282	0	0	0
ENSCSAG00000000283	3.51604479833333	0	0
ENSCSAG00000000284	4.61698393666667	0	0.0771211465
ENSCSAG00000000285	4.543451828	5.6497649115	4.2275461975
ENSCSAG00000000286	7.966118849	10.711168283	7.7824090225
ENSCSAG00000000287	4.62563626566667	0	0
ENSCSAG00000000288	0	0	0
ENSCSAG00000000289	5.65836533733333	0	1.300802646
ENSCSAG00000000290	5.370617417	0	0
ENSCSAG00000000291	0.298959033333333	0.0398389675	0
ENSCSAG00000000292	2.577601218	0	0
ENSCSAG00000000293	0	0	0
ENSCSAG00000000294	4.517294719	5.876108864	3.039487731
ENSCSAG00000000295	6.21390004166667	5.868446403	3.938446779
ENSCSAG00000000296	4.62990837733333	2.587258664	2.8436442505
ENSCSAG00000000297	0	0.523441076	0.3747551
ENSCSAG00000000298	2.3207666	0.8488880115	0
ENSCSAG00000000299	0	0	0
ENSCSAG00000000300	0.0548661226666667	0	0
ENSCSAG00000000301	4.684777216	0.4926522	2.3791198175
ENSCSAG00000000302	0.177442795333333	0	0
ENSCSAG00000000303	0.622825792666667	0	0
ENSCSAG00000000304	0.738569601666667	0	0
ENSCSAG00000000305	0.829751786	0	0.551159779
ENSCSAG00000000306	0.195594	0.287445395	0
ENSCSAG00000000307	7.00701157366667	11.7106198825	8.7548250345
ENSCSAG00000000308	0.892825566666667	0	0
ENSCSAG00000000309	1.15902754766667	0	0
ENSCSAG00000000310	0	0	0
ENSCSAG00000000311	0	0	0
ENSCSAG00000000312	8.56100386033333	10.4408489145	9.010126692
ENSCSAG00000000313	0.978134136	0.282349183	0.20273265
ENSCSAG00000000314	1.45564414933333	0.353565993	2.1524779245
ENSCSAG00000000315	4.18424177566667	1.218407936	0
ENSCSAG00000000316	7.22668554066667	7.4541485255	7.438402808
ENSCSAG00000000317	5.73969393433333	5.1176555665	5.2402059495
ENSCSAG00000000318	5.95728435533333	0.1043304	0.703878126
ENSCSAG00000000319	1.99539339466667	1.2286721955	0.5475461925
ENSCSAG00000000320	6.29550408066667	8.738899958	6.3448485375
ENSCSAG00000000321	6.67158615166667	0	3.361579566
ENSCSAG00000000322	7.42318316266667	6.781932654	5.327940951
ENSCSAG00000000323	5.862073268	0	0
ENSCSAG00000000324	0	0	0
ENSCSAG00000000325	4.26815097833333	1.5996022845	1.8445433335
ENSCSAG00000000326	2.71484270433333	3.1380385875	3.3457627745
ENSCSAG00000000327	5.648572015	0	0
ENSCSAG00000000328	6.10626653566667	0.54296805	1.106003032
ENSCSAG00000000329	6.205770513	4.813296457	5.3770521425
ENSCSAG00000000330	3.65518210233333	0	2.3921945105
ENSCSAG00000000331	0.585132032	0	0.6221390995
ENSCSAG00000000332	0.374268407333333	0	0.813581467
ENSCSAG00000000333	0	0	0
ENSCSAG00000000334	0	0	0
ENSCSAG00000000335	0	0	1.987026003
ENSCSAG00000000336	0	0	0
ENSCSAG00000000337	0.678124635666667	0.6947976455	0.23188235
ENSCSAG00000000338	0	0	0
ENSCSAG00000000339	0	0	0
ENSCSAG00000000340	0	0	0
ENSCSAG00000000341	0.505583081333333	0	0.1592857
ENSCSAG00000000342	0	0	0
ENSCSAG00000000343	0.2906855	0	0
ENSCSAG00000000344	0.741672	0	0.3714847
ENSCSAG00000000345	5.84625576366667	0.926435	2.801479858
ENSCSAG00000000346	2.78900203633333	0.1909872	4.174150935
ENSCSAG00000000347	0.569438298	0.2050142165	0.41100485
ENSCSAG00000000348	0	0	0
ENSCSAG00000000349	6.574458098	9.6168517335	6.725654863
ENSCSAG00000000350	0	0	0
ENSCSAG00000000351	0	0	0
ENSCSAG00000000352	0	0	0
ENSCSAG00000000353	0.796323059666667	2.523949259	0
ENSCSAG00000000354	0	0	0
ENSCSAG00000000355	0	0	0
ENSCSAG00000000356	0	0	0
ENSCSAG00000000357	0	0	0
ENSCSAG00000000358	0	0	0
ENSCSAG00000000359	0	0	0
ENSCSAG00000000360	0	0	0.212212761
ENSCSAG00000000361	0	0	0
ENSCSAG00000000362	0	0	0
ENSCSAG00000000363	0.1681963	0	0
ENSCSAG00000000364	0	0	0
ENSCSAG00000000365	5.91120994266667	6.3852594295	5.76325297
ENSCSAG00000000366	0.845408703	0	0
ENSCSAG00000000367	2.674726771	1.739783201	1.852204808
ENSCSAG00000000368	3.319960733	0.900871886	4.3744510135
ENSCSAG00000000369	6.629301169	8.5808360975	6.787162937
ENSCSAG00000000370	1.51303540833333	0	0.26847455
ENSCSAG00000000371	0	1.313432133	3.107915886
ENSCSAG00000000372	2.225113791	0	0
ENSCSAG00000000373	2.51191144566667	0.231407563	0.851519428
ENSCSAG00000000374	3.75688984	0	0
ENSCSAG00000000375	3.94855331666667	0	0.8757242055
ENSCSAG00000000376	5.00470650633333	0	0.27402
ENSCSAG00000000377	0	0	0
ENSCSAG00000000378	1.49518533133333	5.007920425	0.8126480475
ENSCSAG00000000379	7.89889674566667	9.1487557145	7.486102294
ENSCSAG00000000380	0	0	5.034369118
ENSCSAG00000000381	0.979563537333333	2.257184014	0.4771935865
ENSCSAG00000000382	3.02033800066667	0	0
ENSCSAG00000000383	0.624752666666667	1.1179185	0
ENSCSAG00000000384	0.184442031666667	0	0
ENSCSAG00000000385	1.265760642	0.9619482095	5.5016310595
ENSCSAG00000000386	1.551671911	0.2558150415	0.415514603
ENSCSAG00000000387	0.280730405666667	0	0.935832052
ENSCSAG00000000388	0.855766685	0.2838983	0.23955885
ENSCSAG00000000389	1.695818939	0.193165444	1.3652539685
ENSCSAG00000000390	2.51404351433333	0.1820009825	0.2421985
ENSCSAG00000000391	10.5743824036667	6.4387266	9.3947777605
ENSCSAG00000000392	1.88100972233333	0.348629294	0.2204325
ENSCSAG00000000393	3.243533835	2.119211962	3.7900551785
ENSCSAG00000000394	3.130726593	1.6187097015	1.19427117
ENSCSAG00000000395	8.02657049233333	10.610125531	6.954416749
ENSCSAG00000000396	6.79977439766667	0	2.098862
ENSCSAG00000000397	10.403929594	14.4086454935	10.704738634
ENSCSAG00000000398	0	0.21370495	0
ENSCSAG00000000399	0.461307733333333	0	0
ENSCSAG00000000400	5.43355023433333	8.150768827	5.4683662135
ENSCSAG00000000401	1.20548184933333	0.929123962	2.5191433185
ENSCSAG00000000402	2.837125133	0.746050435	2.0089385335
ENSCSAG00000000403	1.875923493	1.4923067605	2.29586565
ENSCSAG00000000404	0.495672379666667	0.088588323	0.5706215835
ENSCSAG00000000405	0.663117613666667	0	0
ENSCSAG00000000406	5.21036374566667	2.077674816	0.380792
ENSCSAG00000000407	4.15042598433333	4.0499401325	4.0967495895
ENSCSAG00000000408	0	0.0528887805	0
ENSCSAG00000000409	4.61462175733333	0	0.7701045445
ENSCSAG00000000410	2.968087939	1.4880845925	4.3631566925
ENSCSAG00000000411	5.2943966	2.0138948715	1.491021405
ENSCSAG00000000412	0.792368269	0	0.37294735
ENSCSAG00000000413	6.12777076166667	9.2080621215	7.6934953565
ENSCSAG00000000414	1.368359632	1.440149665	0.5182797995
ENSCSAG00000000415	0.770397333333333	0.4598294545	0
ENSCSAG00000000416	0.312472733333333	0	0
ENSCSAG00000000417	0.393198766666667	0	0
ENSCSAG00000000418	0.306860733333333	0	2.9617202345
ENSCSAG00000000419	2.60039613133333	3.0152497705	0.757364
ENSCSAG00000000420	3.96987452333333	5.1599400235	3.689425879
ENSCSAG00000000421	0	0	0
ENSCSAG00000000422	3.60073073	5.299290371	7.4890435385
ENSCSAG00000000423	0.401991016	5.300229316	0.2536477065
ENSCSAG00000000424	13.305198154	14.299471578	12.3189817425
ENSCSAG00000000425	4.58478372033333	2.0977328085	3.927858453
ENSCSAG00000000426	0.916691189333333	2.3606147735	1.9940010195
ENSCSAG00000000427	2.008395921	1.551462747	2.1762069075
ENSCSAG00000000428	0.308164466666667	0	0.1266994
ENSCSAG00000000429	0	0	0
ENSCSAG00000000430	0.719556623	0	0
ENSCSAG00000000431	5.13854309033333	4.716443947	4.6760210145
ENSCSAG00000000432	0.428566042	0	0
ENSCSAG00000000433	1.30337803	0	0
ENSCSAG00000000434	0.658820549333333	0	0.3756350175
ENSCSAG00000000435	0.381401	0	0
ENSCSAG00000000436	0	0	0
ENSCSAG00000000437	0.464017357333333	0	0
ENSCSAG00000000438	0	0	0
ENSCSAG00000000439	0.221399911666667	0.2362667605	0
ENSCSAG00000000440	0	0	0
ENSCSAG00000000441	2.182644959	2.915502981	2.5851833265
ENSCSAG00000000442	10.7732611223333	5.6709512125	9.571448092
ENSCSAG00000000443	2.276894107	0	2.0940917745
ENSCSAG00000000444	8.99597853166667	11.556010421	8.283286462
ENSCSAG00000000445	3.313212966	1.1891290975	0.036118635
ENSCSAG00000000446	0.447730361666667	0	0.0854759
ENSCSAG00000000447	3.69476393133333	2.776724284	1.852469423
ENSCSAG00000000448	9.47615650166667	7.8107358055	9.268094295
ENSCSAG00000000449	4.68137504666667	6.628584653	5.616141181
ENSCSAG00000000450	0	0	0
ENSCSAG00000000451	1.19121423833333	5.165313436	4.150957165
ENSCSAG00000000452	0	0	0.790607008
ENSCSAG00000000453	0	0	1.008119274
ENSCSAG00000000454	0	0.05929775	1.1753500635
ENSCSAG00000000455	0	0	0
ENSCSAG00000000456	2.94343060933333	2.31254685	3.0285231205
ENSCSAG00000000457	4.50016664733333	4.403463207	3.7852844215
ENSCSAG00000000458	1.29155670966667	3.511538447	8.588133178
ENSCSAG00000000459	0	0	0
ENSCSAG00000000460	4.77080401466667	4.6852645885	1.8148005495
ENSCSAG00000000461	0.364949791333333	0	1.3061432065
ENSCSAG00000000462	0.330704866666667	0	1.7466784385
ENSCSAG00000000463	0.380915421333333	0	1.303343658
ENSCSAG00000000464	1.42669620933333	0	2.505085414
ENSCSAG00000000465	0.75944207	0	1.4380184135
ENSCSAG00000000466	3.17607884533333	2.2687368015	1.2321204765
ENSCSAG00000000467	0.411884490666667	0.8590091765	0.149125063
ENSCSAG00000000468	1.03783343766667	0.744188341	0.4355615465
ENSCSAG00000000469	0	0.0589046285	0
ENSCSAG00000000470	0.3216355	0	0
ENSCSAG00000000471	3.66714900133333	0	0.07369895
ENSCSAG00000000472	0	0	0.6337082035
ENSCSAG00000000473	3.80747246533333	5.1993117625	5.971678749
ENSCSAG00000000474	0	0	0
ENSCSAG00000000475	3.44944767133333	3.6531932885	2.2909900345
ENSCSAG00000000476	8.38910784866667	10.823112849	9.748126451
ENSCSAG00000000477	7.08333715666667	6.5515252025	6.957506458
ENSCSAG00000000478	0.122656423	0	0.0700634
ENSCSAG00000000479	0.222799452	0	0
ENSCSAG00000000480	2.45645147	1.1513386795	1.186356795
ENSCSAG00000000481	0.953027684	0.150505812	0.759398125
ENSCSAG00000000482	4.25959109133333	0.374105714	1.460338838
ENSCSAG00000000483	1.77221937366667	1.9588504275	0.3913418285
ENSCSAG00000000484	6.27636472633333	6.7577018675	5.711881185
ENSCSAG00000000485	0.238590717666667	0	0.215527431
ENSCSAG00000000486	2.14790231566667	0.044150936	0.5898137965
ENSCSAG00000000487	1.86309740733333	0.202574118	0.171308238
ENSCSAG00000000488	2.174074888	0.043184211	0.4377930315
ENSCSAG00000000489	2.77940491933333	0.0429441285	0.749688663
ENSCSAG00000000490	2.34866815766667	0.0445706175	0.458344959
