brain	heart	kidney	liver	testis
ENSPTRG00000000067	0.01646787	0.066250502	0.0156974177777778	0.02946809195	5.728342
ENSPTRG00000000068	5.1239615	3.9972558	4.21940466666667	4.0558865	4.073203
ENSPTRG00000000069	3.7988615	2.798695	4.06055844444444	3.30009795	6.412836
ENSPTRG00000000070	3.235233	1.59762018	2.49211877777778	1.59017539	2.737144
ENSPTRG00000000072	3.7800175	0.254816276	2.41768377777778	0.2408530775	2.394285
ENSPTRG00000000075	5.4217615	0.089941586	0.322328533333333	0.0664406723	6.86165
ENSPTRG00000000076	7.528544	7.04303	7.47153733333333	6.79527375	7.077692
ENSPTRG00000000078	3.2737465	3.3355644	3.15080388888889	2.3384399	1.358666
ENSPTRG00000000079	4.544219	3.4811238	4.82516622222222	2.8867075	4.597201
ENSPTRG00000000081	0.4313786	0.03338216	0	0.01507025	0
ENSPTRG00000000082	2.558686	0.38891702	1.66619023333333	1.742629395	1.763565
ENSPTRG00000000084	7.0022695	1.726581	2.96040755555556	3.8463341	4.943415
ENSPTRG00000000085	0.8344824	0.5849161	1.89637994444444	0.502712835	4.171562
ENSPTRG00000000088	4.678768	2.26413266	2.09005023333333	1.117614965	2.850727
ENSPTRG00000000089	3.446757	2.3857346	2.97635977777778	2.36670245	3.34037
ENSPTRG00000000090	0.2452505	0.024179178	0.0798575366666667	0.06771852	3.86625
ENSPTRG00000000091	4.3572095	3.7818232	3.88441211111111	3.31603245	2.957991
ENSPTRG00000000092	3.049838	1.9611536	2.38685066666667	1.82154897	5.090828
ENSPTRG00000000093	3.6248345	2.4197128	3.117034	2.8069625	3.53895
ENSPTRG00000000094	4.7922755	4.3564708	4.82338444444444	4.00224615	5.500463
ENSPTRG00000000096	6.7215085	6.841246	6.47494644444444	5.22482395	6.928268
ENSPTRG00000000098	5.449914	5.3185856	5.96448077777778	4.4246747	5.045316
ENSPTRG00000000099	3.651165	2.4061708	2.70316966666667	2.12633767	3.065302
ENSPTRG00000000100	0.8969521	0.496142752	0.918362111111111	0.3413779	0.160382
ENSPTRG00000000102	8.3744055	7.1155332	7.74201811111111	7.66408105	8.375949
ENSPTRG00000000103	4.493791	3.5421102	5.011909	6.40522515	2.99324
ENSPTRG00000000104	3.566437	0.59291602	1.8698291	1.27693059	0.8071834
ENSPTRG00000000106	4.6839285	3.871429	4.91990877777778	3.2427803	5.744662
ENSPTRG00000000109	9.792746	6.5441198	9.10364177777778	8.563852	8.511084
ENSPTRG00000000111	0	0.052951808	0.195599911111111	0.1656857085	0
ENSPTRG00000000112	4.4355005	3.5348452	3.65209111111111	1.666294825	7.673521
ENSPTRG00000000113	1.799408	2.1478248	2.75609233333333	3.8151755	2.343023
ENSPTRG00000000114	2.8552345	1.59939362	2.92376777777778	3.79475675	2.638667
ENSPTRG00000000115	4.807297	2.5869778	4.333099	2.90577815	6.334094
ENSPTRG00000000120	2.516556	1.08730518	2.291649	1.79452615	2.711554
