brain	kidney	liver	ovary	testis
ENSCPOG00000000165	4.912879	5.26676525	3.57857980085714	3.880443	2.185965
ENSCPOG00000000166	3.11206866666667	2.1166285	2.339387208	3.082646	4.087751
ENSCPOG00000000167	0.359381566666667	0.22341315	0.192833514285714	0	0
ENSCPOG00000000168	4.369683	4.80080075	6.34688860428571	3.840312	2.560108
ENSCPOG00000000170	5.86448166666667	5.519509	4.91822249685714	6.663003	7.211431
ENSCPOG00000000173	5.070208	4.96515475	4.25191557785714	6.057849	5.406955
ENSCPOG00000000174	0.3742824	1.47285625	0.705905123714286	3.067071	0.2915213
ENSCPOG00000000176	4.560184	0.0490962375	0.0269906671428571	0.1060301	1.414926
ENSCPOG00000000179	4.89126666666667	4.92705975	4.52708707585714	5.791592	4.24712
ENSCPOG00000000180	3.65908766666667	0.28202293	0.469486130714286	2.76422	0.4362571
ENSCPOG00000000183	9.35520766666667	6.62940125	6.12132222585714	6.71272	2.656741
ENSCPOG00000000186	0.0994757333333333	0	0	0	0
ENSCPOG00000000189	1.448181	0.588026775	2.60143490885714	1.238993	0.1460256
ENSCPOG00000000190	1.2547499	5.833974	6.16270760842857	1.174106	0.5303934
ENSCPOG00000000191	0	0.29957515	0.204090557142857	4.306751	0
ENSCPOG00000000192	0.3638485	0.0536952275	0.0186182385714286	0.8004945	6.491569
ENSCPOG00000000193	5.40396966666667	3.445529	3.274168467	4.149625	6.514763
ENSCPOG00000000194	1.18671266666667	0.66916595	0.545661248	3.630487	0.9545924
ENSCPOG00000000195	2.284413	9.95681025	10.5574990895714	2.087439	5.330569
ENSCPOG00000000196	4.34256166666667	0.011980345	0.107469344285714	1.475194	1.354706
ENSCPOG00000000197	5.07337966666667	3.369801	1.38332538628571	3.994172	2.042263
ENSCPOG00000000198	3.96845233333333	3.17476375	3.47041720442857	4.578103	4.083078
ENSCPOG00000000202	4.30966466666667	4.01705275	3.51336289528571	5.282421	5.095604
ENSCPOG00000000203	0.255357	0.098942695	4.85152183771429	0.2400774	0.06448157
ENSCPOG00000000204	6.056963	4.6660685	4.54781865485714	4.874753	3.107671
ENSCPOG00000000207	5.372982	2.81778425	1.45832171685714	2.835791	5.783894
ENSCPOG00000000208	5.09842333333333	3.5798895	2.91199774771429	4.255727	4.627928
ENSCPOG00000000209	6.649939	2.47653825	1.90062311157143	2.640184	2.893018
ENSCPOG00000000210	5.750959	4.63282075	4.39603010171429	5.203722	1.945038
ENSCPOG00000000211	0.643505	0.286262655	0.336259372285714	2.429335	1.134398
ENSCPOG00000000212	2.89289233333333	1.77672025	3.00718511542857	2.401107	0.348297
ENSCPOG00000000213	6.62835466666667	5.47096825	6.17874390142857	4.668363	5.563777
ENSCPOG00000000214	4.730976	1.042551925	0.307473228571429	0.2550342	4.126097
ENSCPOG00000000215	3.82871866666667	3.14845925	3.23148548542857	3.917756	2.329815
ENSCPOG00000000216	3.19437666666667	3.44024125	2.76636653428571	4.657891	2.913188
ENSCPOG00000000218	5.27056333333333	4.5687025	4.990546635	5.232523	6.003249
ENSCPOG00000000219	6.21906933333333	5.27210875	4.881258575	6.152686	5.908674
ENSCPOG00000000220	4.25893633333333	1.103878475	0.177190605714286	2.48649	5.805468
ENSCPOG00000000221	1.1095465	0.1810748425	0	0.08305212	0.1310256
ENSCPOG00000000222	3.62716366666667	2.9435375	3.31922763242857	2.5935	3.876596
ENSCPOG00000000224	4.77905533333333	3.61795725	3.04172121085714	3.807314	5.621117
ENSCPOG00000000227	0.6070407	4.64641775	8.28925322585714	0.151251	0.2030245
ENSCPOG00000000228	0	0	0	0	0.2682559
ENSCPOG00000000230	5.25556266666667	5.48975425	3.95423160142857	5.421455	4.095659
ENSCPOG00000000231	0	0	0	0.4028662	0
ENSCPOG00000000232	6.640376	3.872627	5.23662140571429	1.99497	2.901369
ENSCPOG00000000236	2.659267	2.79294725	3.04442186757143	2.593684	3.175703
ENSCPOG00000000237	7.01627733333333	5.18859625	5.78423318757143	5.029426	3.06486
ENSCPOG00000000244	1.20788566666667	0.575515575	0.383200945428571	1.534091	0.3394031
ENSCPOG00000000245	0	0.156197425	0.0929191024285714	0.2105323	0.3112334
ENSCPOG00000000246	3.204807	1.1222118	1.62106660914286	1.529022	0.7167381
ENSCPOG00000000247	0.463366	0.07445515	5.18839431757143	0.6983776	0.4798183
ENSCPOG00000000248	4.10692	2.7895085	3.67867393042857	2.652808	2.534794
ENSCPOG00000000249	4.87282433333333	4.63566275	4.64622142728571	5.001699	6.174528
ENSCPOG00000000250	4.69687533333333	4.0523505	3.05942395585714	4.759289	6.293483
ENSCPOG00000000251	5.06196533333333	4.8583825	3.78630578028571	5.540322	4.12365
ENSCPOG00000000253	5.30704766666667	5.61165675	4.49911368542857	6.172778	6.554992
ENSCPOG00000000254	1.79315333333333	2.2129055	1.43151132642857	1.048501	0.2600208
ENSCPOG00000000256	3.92300433333333	2.13972025	2.43273861542857	1.886874	6.505231
