kidney	liver
ENSLACG00000000418	0.018931228	0
ENSLACG00000000419	0	0
ENSLACG00000000420	0	0
ENSLACG00000000421	0	0
ENSLACG00000000422	0.220993566	3.540734
ENSLACG00000000423	0.771623631	1.247666
ENSLACG00000000424	1.972086043	5.942252
ENSLACG00000000425	0	0
ENSLACG00000000426	0.242245179	0
ENSLACG00000000427	1.551456955	2.853922
ENSLACG00000000428	0	0
ENSLACG00000000429	0	0
ENSLACG00000000430	1.095370859	4.046378
ENSLACG00000000431	3.096057715	2.294256
ENSLACG00000000432	2.821149883	3.996733
ENSLACG00000000433	0.529561113	2.473647
ENSLACG00000000434	1.188641459	0.8750817
ENSLACG00000000435	0	0
ENSLACG00000000436	0.183543681	0
ENSLACG00000000437	0.380726124	3.401748
ENSLACG00000000438	0	0
ENSLACG00000000439	0.642559259	0
ENSLACG00000000440	3.497637911	5.554383
ENSLACG00000000441	0.717331396	0
ENSLACG00000000442	0.967607622	2.538876
ENSLACG00000000443	0.149303595	5.16306
ENSLACG00000000444	0.345402053	4.051442
ENSLACG00000000445	0	0
ENSLACG00000000446	0.177015866	0
ENSLACG00000000447	1.975670536	0
ENSLACG00000000448	0	3.375355
ENSLACG00000000449	1.672936701	1.508591
ENSLACG00000000450	0.249105486	0
ENSLACG00000000451	1.406172005	0
ENSLACG00000000452	1.817713295	2.069207
ENSLACG00000000453	3.013487272	5.087934
ENSLACG00000000454	0	0
ENSLACG00000000455	1.664528351	3.204433
ENSLACG00000000456	0	0
ENSLACG00000000457	2.669841567	2.293285
ENSLACG00000000458	0.093942365	2.59019
ENSLACG00000000459	0	0
ENSLACG00000000460	1.849855183	3.298827
ENSLACG00000000461	0.171005656	0
ENSLACG00000000462	0.069956592	0
ENSLACG00000000463	0.027556364	1.154026
ENSLACG00000000464	0	0
ENSLACG00000000465	0	0
ENSLACG00000000466	0.866413481	2.47796
ENSLACG00000000467	0	0
ENSLACG00000000468	1.455133862	3.919197
ENSLACG00000000469	0.28418718	0
ENSLACG00000000470	0	0
ENSLACG00000000471	0.025453529	0
ENSLACG00000000472	0.104519703	0
ENSLACG00000000473	0	6.061798
ENSLACG00000000474	0	0
ENSLACG00000000475	1.25279106	2.564676
ENSLACG00000000476	1.136703262	0
ENSLACG00000000477	0	2.090704
ENSLACG00000000478	0.379235009	0
ENSLACG00000000479	0.755344817	5.142736
ENSLACG00000000480	0	0
ENSLACG00000000481	0	1.618676
ENSLACG00000000482	1.345447473	1.968305
ENSLACG00000000483	0.538142796	0
ENSLACG00000000484	0.77954802	7.571836
ENSLACG00000000485	0	0
ENSLACG00000000486	0.305330867	0
ENSLACG00000000487	0	0
ENSLACG00000000488	0	0
ENSLACG00000000489	0.098858795	0
ENSLACG00000000490	2.221397649	3.241599
ENSLACG00000000491	0	0
ENSLACG00000000492	0	0
ENSLACG00000000493	5.341259949	4.238993
ENSLACG00000000494	2.753452643	3.258379
ENSLACG00000000495	0.249194099	0
ENSLACG00000000496	0	0
ENSLACG00000000497	0.388883848	0
ENSLACG00000000498	0.938561318	2.909836
ENSLACG00000000499	0	0
ENSLACG00000000500	3.481763919	1.036623
ENSLACG00000000501	0.675397737	2.939962
ENSLACG00000000502	0	0
ENSLACG00000000503	0.355511365	3.437864
ENSLACG00000000504	0.099785334	0
ENSLACG00000000505	2.029880419	1.257699
ENSLACG00000000506	0	0
ENSLACG00000000507	0.240109131	2.198441
ENSLACG00000000508	0	0
ENSLACG00000000509	0	4.512518
ENSLACG00000000510	0.284266556	0
ENSLACG00000000511	0	0
ENSLACG00000000512	0.864886196	2.350675
ENSLACG00000000513	0	0
ENSLACG00000000514	0	0
ENSLACG00000000515	2.249387693	3.832991
