brain	liver	ovary	testis
ENSMEUG00000000215	NA	0.1013637	NA	0.6628253
ENSMEUG00000000216	NA	3.6444184705	NA	3.064538
ENSMEUG00000000217	NA	3.724256022	NA	1.960226
ENSMEUG00000000218	NA	1.886638111	NA	3.745366
ENSMEUG00000000219	NA	2.4644078865	NA	0.4282335
ENSMEUG00000000220	NA	0.1958866	NA	0.07953076
ENSMEUG00000000221	NA	3.147788227	NA	4.724508
ENSMEUG00000000222	NA	0.295645883	NA	0.1008095
ENSMEUG00000000223	NA	5.4503593635	NA	6.719457
ENSMEUG00000000224	NA	1.3964974125	NA	4.029506
ENSMEUG00000000225	NA	4.3301306595	NA	2.551676
ENSMEUG00000000226	NA	5.117240707	NA	4.269714
ENSMEUG00000000227	NA	1.9935454615	NA	1.60115
ENSMEUG00000000228	NA	5.868671583	NA	4.308266
ENSMEUG00000000229	NA	0	NA	6.025244
ENSMEUG00000000230	NA	4.610206198	NA	4.188171
ENSMEUG00000000231	NA	2.189718016	NA	3.933582
ENSMEUG00000000232	NA	4.671353935	NA	0.05416957
ENSMEUG00000000233	NA	1.899845317	NA	2.299072
ENSMEUG00000000234	NA	1.453674576	NA	4.972748
ENSMEUG00000000235	NA	0.1769786535	NA	0.3016099
ENSMEUG00000000236	NA	2.339052648	NA	4.405523
ENSMEUG00000000237	NA	4.5535796775	NA	4.701738
ENSMEUG00000000238	NA	0	NA	0
ENSMEUG00000000239	NA	0.379346154	NA	0.7187408
ENSMEUG00000000240	NA	3.830958896	NA	5.700379
ENSMEUG00000000241	NA	1.7930670475	NA	1.99718
ENSMEUG00000000242	NA	3.192797354	NA	6.199592
ENSMEUG00000000243	NA	7.065637518	NA	8.499957
ENSMEUG00000000244	NA	0.4622321635	NA	0.09709093
ENSMEUG00000000245	NA	4.025089045	NA	5.244917
ENSMEUG00000000246	NA	0	NA	0.3690175
ENSMEUG00000000247	NA	0	NA	0.1231009
ENSMEUG00000000248	NA	0	NA	0.1319275
ENSMEUG00000000249	NA	2.284897377	NA	0.6000423
ENSMEUG00000000250	NA	4.287241132	NA	5.057935
ENSMEUG00000000251	NA	1.241693787	NA	4.664318
ENSMEUG00000000252	NA	0	NA	6.210899
ENSMEUG00000000253	NA	2.1356430285	NA	8.866531
ENSMEUG00000000254	NA	6.7103277135	NA	8.746444
ENSMEUG00000000255	NA	0	NA	0
ENSMEUG00000000256	NA	2.0513620805	NA	3.164502
ENSMEUG00000000257	NA	0.0269754205	NA	0.098595
ENSMEUG00000000258	NA	0	NA	0.3283551
ENSMEUG00000000259	NA	5.407014008	NA	6.694922
ENSMEUG00000000260	NA	0.832809244	NA	3.41321
ENSMEUG00000000261	NA	1.0278759605	NA	0.3537027
ENSMEUG00000000262	NA	2.5575318285	NA	3.547228
ENSMEUG00000000263	NA	5.6071191985	NA	2.176875
ENSMEUG00000000264	NA	1.8301363165	NA	4.968814
ENSMEUG00000000265	NA	0.0511391	NA	0.09580076
ENSMEUG00000000266	NA	2.92393176	NA	4.080061
ENSMEUG00000000267	NA	0.6563224485	NA	4.026225
ENSMEUG00000000268	NA	1.6765633955	NA	0.5484366
ENSMEUG00000000269	NA	0.0549362315	NA	5.228091
ENSMEUG00000000270	NA	0.1831804	NA	2.899582
ENSMEUG00000000271	NA	3.0029605315	NA	0.8305953
ENSMEUG00000000272	NA	3.8161905285	NA	0.3076558
ENSMEUG00000000273	NA	0	NA	0
ENSMEUG00000000274	NA	1.9648382735	NA	2.163183
ENSMEUG00000000275	NA	0.1493838365	NA	2.034828
ENSMEUG00000000276	NA	1.538755254	NA	3.895652
ENSMEUG00000000277	NA	0.607354584	NA	0.5974482
ENSMEUG00000000278	NA	0	NA	4.806994
ENSMEUG00000000279	NA	0.08408865	NA	0
ENSMEUG00000000280	NA	0	NA	9.512814
ENSMEUG00000000281	NA	0.16906385	NA	6.183584
ENSMEUG00000000282	NA	4.429848029	NA	3.505523
ENSMEUG00000000283	NA	0	NA	0
ENSMEUG00000000284	NA	3.7409288295	NA	3.995593
ENSMEUG00000000285	NA	7.0458836325	NA	4.662946
ENSMEUG00000000286	NA	0.503991364	NA	2.017779
ENSMEUG00000000287	NA	4.4488857725	NA	4.288595
ENSMEUG00000000288	NA	4.5981818485	NA	5.856209
ENSMEUG00000000289	NA	0.0816559715	NA	7.89409
ENSMEUG00000000290	NA	3.34616153	NA	2.881782
ENSMEUG00000000291	NA	4.0020798305	NA	8.5881
ENSMEUG00000000292	NA	1.8648255535	NA	2.816839
ENSMEUG00000000293	NA	2.268913531	NA	2.763518
ENSMEUG00000000294	NA	4.457676723	NA	3.630277
