heart	kidney	liver	testis
ENSGGOG00000000446	1.5461455	2.3730315	2.3255985	4.06330833333333
ENSGGOG00000000447	1.356601	3.6131565	3.508426	3.50123033333333
ENSGGOG00000000448	0.031815345	0.19088155	0.054061035	1.368293
ENSGGOG00000000449	2.154462	2.8958495	1.540651	3.308912
ENSGGOG00000000450	0.94370715	2.51139	2.361105	3.40956633333333
ENSGGOG00000000451	1.2884775	2.0194655	1.961613	2.27811133333333
ENSGGOG00000000452	2.9985925	3.031947	3.261265	2.2852
ENSGGOG00000000453	2.2086055	4.4479765	3.611578	5.605883
ENSGGOG00000000454	1.3387285	3.4452735	3.8456445	4.79844866666667
ENSGGOG00000000457	1.3041115	1.148222	1.2007785	2.61294666666667
ENSGGOG00000000458	2.8509255	5.567556	4.167169	5.17873233333333
ENSGGOG00000000459	0.21084375	1.97681	9.0500885	1.83254
ENSGGOG00000000460	2.329524	3.580295	2.5989105	2.92033666666667
ENSGGOG00000000461	1.0388413	3.1086565	1.8472105	4.10612
ENSGGOG00000000462	2.39692	4.5288	5.574385	2.79497366666667
ENSGGOG00000000463	0.3844687	1.5704865	1.27413685	1.59481133333333
ENSGGOG00000000464	0	0	0	0.590100766666667
ENSGGOG00000000465	2.66448	2.8838445	1.2039035	3.594276
ENSGGOG00000000466	0.0827537	0.2006881	0.2153992	1.0621597
ENSGGOG00000000467	1.9001475	2.4474505	1.914897	2.813021
ENSGGOG00000000468	0.77220545	2.0273	1.4457621	2.566621
