heart	kidney	liver	testis
ENSPPAG00000000881	1.7621635	1.8450377115	0.8142964	1.1476
ENSPPAG00000000897	0.65559105	1.860916015	2.2746665	0.8133983
ENSPPAG00000000902	1.06474825	1.71108149	0.4817697	0.4896816
ENSPPAG00000000905	2.059633	2.275301728	2.5616655	3.084124
ENSPPAG00000000909	3.667439	3.1531528005	3.495744	1.409597
ENSPPAG00000000910	0	1.3314865	0	0
ENSPPAG00000000911	1.728503	0.8733445345	3.050364	0.4980088
ENSPPAG00000000924	0.7965316	1.7521914995	10.19063	1.85538
ENSPPAG00000000925	0.71474635	0.8300071035	0.89432945	0.6050372
ENSPPAG00000000926	6.511906	5.8270848455	1.7645885	3.023999
ENSPPAG00000000929	0.28150895	0	0	0.6501239
ENSPPAG00000000942	0	0.1479337905	0.2995201	0
ENSPPAG00000000943	1.1604458	1.4704998715	0.81716575	1.312988
ENSPPAG00000000953	0	0	0.0664418	0.725551
ENSPPAG00000000954	0	0.09200745	0	1.3127
ENSPPAG00000000955	3.112613	5.361440805	4.243837	5.757411
ENSPPAG00000000956	0.9286684	6.4493993035	1.145693	2.379596
ENSPPAG00000000957	3.6826715	5.5124594855	4.948997	4.261892
ENSPPAG00000000958	2.1829455	2.87814391	3.287378	2.723447
ENSPPAG00000000962	0.42614805	1.387543697	3.7191985	2.271578
ENSPPAG00000000967	0.057864835	0	0	5.431432
ENSPPAG00000000976	0.023279335	0.0734994295	0.04809233	5.118252
ENSPPAG00000000986	1.0872903	3.3538814905	2.965249	2.65982
ENSPPAG00000000987	3.405525	3.6348047585	3.1786685	4.798833
ENSPPAG00000000997	0	0	0.2396406	0
ENSPPAG00000001011	0.481437	0.600884291	0.4276572	0
ENSPPAG00000001013	1.5478775	2.200522123	1.8756335	4.942425
ENSPPAG00000001022	0.041703505	0.0279686115	0.1215707	0.2141385
ENSPPAG00000001035	0.07675545	0.3146315975	0.57906215	0.3794613
ENSPPAG00000001045	0.58144915	5.19382196	0	2.116045
ENSPPAG00000001049	0	0	0	0
ENSPPAG00000001052	2.5470265	3.4289008315	1.6761	1.315381
ENSPPAG00000001055	0.35270525	0.3931775905	0.26472685	0.4144527
ENSPPAG00000001057	1.78398	2.648815858	2.071328	2.725067
ENSPPAG00000001059	0	0	0	0
ENSPPAG00000001064	0	0.069502344	0.035225715	1.099598
ENSPPAG00000001068	2.643565	4.0850677555	3.251626	5.923736
ENSPPAG00000001074	0	0	0	0
ENSPPAG00000001076	0.2900216	0.42647151	0	4.608034
ENSPPAG00000001093	0	1.1283317725	0.8583045	0
ENSPPAG00000001094	2.9978055	4.1111010015	3.3104525	4.474488
ENSPPAG00000001101	0.3240491	0	1.7223405	5.393629
ENSPPAG00000001103	4.180949	5.3945926125	6.88239	2.570504
ENSPPAG00000001106	2.419342	3.055366513	1.5311795	3.200415
ENSPPAG00000001123	0	1.523980295	0	0
ENSPPAG00000001131	0	0	0	0
ENSPPAG00000001140	0	0.106800556	0	0
ENSPPAG00000001143	0	0	0	0
ENSPPAG00000001144	1.1644645	2.00261457	1.3287812	4.314515
ENSPPAG00000001146	0	0	0	0
ENSPPAG00000001149	0.12195945	0.12645245	0	0
ENSPPAG00000001152	0	0	0	0
ENSPPAG00000001157	0	0	0	0
ENSPPAG00000001167	0	0	0.11474965	0
ENSPPAG00000001173	3.572768	4.43026751	4.3719955	4.860715
ENSPPAG00000001175	0.31119135	0.192434472	0.08538875	5.150048
ENSPPAG00000001178	5.291171	5.7530863135	2.7381095	8.105762
ENSPPAG00000001179	0	0	0	0
ENSPPAG00000001184	0	0	0	1.624007
ENSPPAG00000001187	3.0134525	2.9277840985	3.9005245	5.50705
ENSPPAG00000001189	0.36642245	0	0.0335446	0.1700917
ENSPPAG00000001201	0	0	0	0
ENSPPAG00000001205	2.8525525	3.6734427695	3.4341615	2.241843
ENSPPAG00000001206	0.2381006	0.902562429	0	0.5811921
ENSPPAG00000001207	1.00421105	0.5909871005	0.86098545	0.8856251
ENSPPAG00000001208	3.299141	4.329942116	4.488406	5.49334
ENSPPAG00000001209	2.7757475	4.0248305415	3.651324	4.2487
ENSPPAG00000001211	2.7671575	3.3763706965	2.5617075	2.445331
ENSPPAG00000001213	3.5876155	4.1276714605	2.895049	3.590243
