brain	heart	kidney	liver	testis
ENSFCAG00000000085	2.5565712	NA	1.98432766666667	1.59030908	5.15116986666667
ENSFCAG00000000086	3.9594048	NA	4.39611933333333	2.2431696	5.37746733333333
ENSFCAG00000000089	1.5745144	NA	0	0	0.157744695333333
ENSFCAG00000000090	7.273256	NA	3.46947533333333	0.25770772	0.221302237333333
ENSFCAG00000000091	6.0762234	NA	5.58671733333333	5.2209182	6.46103213333333
ENSFCAG00000000092	0.30678218	NA	0.322173033333333	0.07788104	1.26850368666667
ENSFCAG00000000093	3.1123182	NA	3.40169066666667	2.6090498	3.64309973333333
ENSFCAG00000000094	0.58550218	NA	1.01131293333333	0.79007696	4.36886681333333
ENSFCAG00000000095	3.6998844	NA	3.50731433333333	3.1593518	2.9593944
ENSFCAG00000000096	3.8861524	NA	0.1747295	0.17676742	1.72269829333333
ENSFCAG00000000098	1.0697972	NA	1.88188766666667	2.2757652	5.378154
ENSFCAG00000000103	3.1493488	NA	4.58533733333333	2.9464392	4.5004744
ENSFCAG00000000105	4.7885286	NA	7.249771	10.2721734	5.2109414
ENSFCAG00000000106	0.83495672	NA	0.21983399	0.11868834	3.57953436666667
ENSFCAG00000000108	4.1456146	NA	3.165311	3.4083544	5.3075318
ENSFCAG00000000110	5.2916598	NA	4.517361	4.9467474	3.78140073333333
ENSFCAG00000000112	4.262552	NA	2.510708	0.24765144	1.53536852
ENSFCAG00000000113	2.4098192	NA	0.328258733333333	0.37575448	3.27140283333333
ENSFCAG00000000115	3.7527316	NA	3.32926633333333	3.102743	4.56002906666667
ENSFCAG00000000118	1.25808646	NA	0.3089524	0.030398134	0.188753224
ENSFCAG00000000122	0.07828448	NA	0	0	0.07156066
ENSFCAG00000000126	0	NA	0	0	0.0627578533333333
ENSFCAG00000000129	1.60610818	NA	3.21044633333333	2.0008584	4.68927673333333
ENSFCAG00000000130	3.6471062	NA	4.52143233333333	2.7144664	5.13077833333333
ENSFCAG00000000132	0.24083162	NA	0.238575266666667	0.363798358	0.419376082
ENSFCAG00000000133	6.3705384	NA	5.786283	5.4315016	6.2280554
ENSFCAG00000000135	2.4596002	NA	1.1720851	2.14724536	3.7345294
ENSFCAG00000000137	3.29331452	NA	4.64316233333333	3.9938854	4.1362782
ENSFCAG00000000138	6.789263	NA	3.44436766666667	2.7993316	2.513528
ENSFCAG00000000141	0.12878638	NA	0	0	0.0583555533333333
ENSFCAG00000000142	0	NA	0	0.15622412	0.143336483333333
ENSFCAG00000000143	4.0102616	NA	2.75206566666667	2.7010032	4.99189246666667
ENSFCAG00000000145	7.3796256	NA	8.08920266666667	7.7968412	6.49897686666667
ENSFCAG00000000146	3.7044162	NA	3.38272733333333	2.8614312	3.18400733333333
ENSFCAG00000000147	0.03747856	NA	7.34226e-09	0	2.98307753933333
ENSFCAG00000000149	3.629259	NA	2.69340633333333	2.028829	5.195218
ENSFCAG00000000150	1.8920798	NA	3.17612733333333	1.0867809	2.55880953333333
ENSFCAG00000000151	0.32111464	NA	0.251199333333333	1.32263406	3.11251660666667
ENSFCAG00000000153	0.48516522	NA	1.13817316666667	0.43702152	0.43478088
ENSFCAG00000000154	4.7145012	NA	3.426599	3.4438908	3.60770033333333
ENSFCAG00000000158	0.6782411	NA	0.11432426	0.095011344	0.439597796666667
ENSFCAG00000000162	2.2439902	NA	0.833931533333333	1.5999712	3.2762532
ENSFCAG00000000163	1.135595	NA	2.95511666666667	11.735582	2.27291945333333
ENSFCAG00000000164	0.18813558	NA	7.248409	2.11047292	1.67965736
ENSFCAG00000000165	3.4237618	NA	2.420818	3.2818306	1.62776953333333
ENSFCAG00000000166	1.5130548	NA	3.464779	12.006034	0.102500453333333
ENSFCAG00000000167	1.27507288	NA	1.4083559	1.39909136	3.05438026666667
ENSFCAG00000000169	5.0172216	NA	3.94102166666667	2.993252	7.1376738
ENSFCAG00000000170	1.2900518	NA	1.45809433333333	0.36293022	3.63502906666667
ENSFCAG00000000171	0.73959622	NA	0.663956166666667	0.67080444	4.50954273333333
ENSFCAG00000000174	0.0742549	NA	1.50844906666667	0.26057494	0.355204893333333
ENSFCAG00000000175	3.0310228	NA	3.790261	10.2317054	5.21605273333333
ENSFCAG00000000177	3.5411072	NA	5.23061766666667	10.0503208	5.74722386666667
ENSFCAG00000000178	5.7373348	NA	4.243143	3.20549	3.73482873333333
ENSFCAG00000000179	1.29303648	NA	2.72136766666667	5.5370486	1.57803268666667
