kidney	liver
ENSMICG00000000399	5.801047	4.94279983333333
ENSMICG00000000402	1.213291	0.4982425
ENSMICG00000000403	5.401435	3.86444583333333
ENSMICG00000000405	0.6647359	0.0707801333333333
ENSMICG00000000407	6.173163	4.038733
ENSMICG00000000409	5.271953	2.58319056666667
ENSMICG00000000410	0.8757981	0.241850556666667
ENSMICG00000000413	1.259522	0.356987
ENSMICG00000000417	5.887112	6.13123016666667
ENSMICG00000000420	5.097545	3.21840116666667
ENSMICG00000000421	0.2228342	0.745056366666667
ENSMICG00000000424	5.361558	4.672419
ENSMICG00000000425	4.879816	2.2147445
ENSMICG00000000426	0.5837184	0.0691027
ENSMICG00000000427	5.759297	1.96636991666667
ENSMICG00000000428	0.279993	0.365661451666667
ENSMICG00000000429	2.728284	2.9174255
ENSMICG00000000435	7.041418	5.264932
ENSMICG00000000436	5.376606	2.95085566666667
ENSMICG00000000437	3.343776	2.1739581
ENSMICG00000000438	5.997137	2.66443866666667
ENSMICG00000000439	0	0.0721861333333333
ENSMICG00000000440	5.819135	4.49315483333333
ENSMICG00000000441	5.95276	6.78085383333333
ENSMICG00000000445	1.401581	0.927103173333333
ENSMICG00000000447	2.172535	0.862461933333333
ENSMICG00000000449	5.649849	2.5249425
ENSMICG00000000450	5.202182	3.454756
ENSMICG00000000451	4.580242	1.68608883333333
ENSMICG00000000452	1.811196	1.77331645
ENSMICG00000000453	1.886173	1.5918009
ENSMICG00000000460	3.922617	0.478550716666667
ENSMICG00000000462	7.508128	5.08362083333333
ENSMICG00000000466	6.132486	3.01124246666667
ENSMICG00000000467	0.7895832	0.0127927283333333
ENSMICG00000000468	1.781586	0.0272877833333333
ENSMICG00000000469	5.562847	4.62974216666667
ENSMICG00000000470	2.994006	0.4593701
ENSMICG00000000482	4.92891	0
ENSMICG00000000486	5.013105	0
ENSMICG00000000489	0.4345391	0.574508083333333
ENSMICG00000000494	0.5676574	0.102960533333333
ENSMICG00000000496	4.810602	2.12063843333333
ENSMICG00000000504	0.7464727	0.055388005
ENSMICG00000000510	6.543938	4.357921
ENSMICG00000000511	7.317051	0.0550467833333333
ENSMICG00000000517	5.025476	4.29789283333333
ENSMICG00000000521	0.2365538	0.00882013666666667
ENSMICG00000000523	5.590837	2.72778216666667
ENSMICG00000000527	1.702205	0.214990256666667
ENSMICG00000000528	3.937488	3.494281
ENSMICG00000000529	0.499475	0.0194429
ENSMICG00000000530	6.841457	6.116824
ENSMICG00000000533	6.127427	7.1256655
ENSMICG00000000542	0.9068052	0.336382595
ENSMICG00000000543	0	0
ENSMICG00000000544	1.260484	0.440833133333333
ENSMICG00000000545	1.983385	0.46526215
ENSMICG00000000548	3.806283	4.91598466666667
ENSMICG00000000549	6.759782	3.46831633333333
ENSMICG00000000551	1.869074	0.172403943333333
ENSMICG00000000552	4.130643	2.46403136666667
ENSMICG00000000554	5.578937	2.23549468333333
ENSMICG00000000557	0.1954769	0.00168158683333333
ENSMICG00000000560	5.390729	1.0752714
ENSMICG00000000562	3.682626	2.62546866666667
ENSMICG00000000564	3.958258	2.71016483333333
ENSMICG00000000566	0.1818517	0.00846885
ENSMICG00000000567	4.72635	0.56847444
ENSMICG00000000568	2.50779	0.69512625
ENSMICG00000000572	4.399265	2.11362978333333
ENSMICG00000000574	0.4912692	0.87825925
ENSMICG00000000578	0.3191797	0.111668313333333
ENSMICG00000000580	6.782533	4.04005383333333
ENSMICG00000000581	1.862123	1.92401143333333
ENSMICG00000000582	6.277431	4.43185383333333
ENSMICG00000000584	4.940355	3.5770345
ENSMICG00000000588	5.237438	2.41194833333333
ENSMICG00000000590	0.3524241	0.214692346666667
ENSMICG00000000596	6.912374	6.719672
ENSMICG00000000598	5.200336	2.36801668833333
ENSMICG00000000600	0	0
ENSMICG00000000602	6.29758	4.67729866666667
ENSMICG00000000604	6.504112	3.7767385
ENSMICG00000000608	0.7373813	0.114567225
ENSMICG00000000614	4.1078	1.135667
ENSMICG00000000617	5.635821	5.1754745
ENSMICG00000000618	5.446238	2.04698401666667
ENSMICG00000000619	1.203552	1.0982231
ENSMICG00000000621	3.471935	2.35931383333333
ENSMICG00000000624	1.919828	0.686410666666667
ENSMICG00000000625	0	0.138180413333333
ENSMICG00000000626	5.550451	5.013573
ENSMICG00000000628	0.7067798	0.0690549716666667
ENSMICG00000000629	4.04969	0.492438115
ENSMICG00000000630	3.099879	0.644264133333333
ENSMICG00000000631	3.809679	0.6339658
ENSMICG00000000632	2.048209	1.35122723333333
ENSMICG00000000633	2.000171	0.288693233333333
ENSMICG00000000634	4.054692	1.7140133
ENSMICG00000000635	3.006243	2.02106133333333
ENSMICG00000000636	2.872817	1.16900121666667
ENSMICG00000000637	0.0977622	0.0139434216666667
ENSMICG00000000638	1.750284	0.823917783333333
ENSMICG00000000639	0.7374428	0.03294182
ENSMICG00000000640	4.036552	3.62514616666667
ENSMICG00000000642	1.551964	0.410936966666667
ENSMICG00000000643	4.865607	2.99941586666667
ENSMICG00000000644	4.916337	3.07867566666667
ENSMICG00000000645	4.680336	2.16205636666667
ENSMICG00000000648	0.3565506	0.0040786
ENSMICG00000000649	3.787027	0.93824426
ENSMICG00000000650	1.21927	0.151550508333333
ENSMICG00000000653	7.166943	6.73255333333333
ENSMICG00000000657	5.844802	4.1049045
ENSMICG00000000659	5.721096	5.0607515
ENSMICG00000000660	12.80846	1.09231613333333
ENSMICG00000000661	4.276829	1.86844883333333
ENSMICG00000000664	5.108039	4.321066
ENSMICG00000000667	1.50487	0.0295197066666667
ENSMICG00000000669	0	0
ENSMICG00000000670	0	0
ENSMICG00000000674	5.758309	3.5252415
ENSMICG00000000675	6.101448	6.530811
ENSMICG00000000676	4.650431	2.55839566666667
ENSMICG00000000677	4.19325	3.92242233333333
ENSMICG00000000678	0	0
ENSMICG00000000681	6.013836	3.198265
ENSMICG00000000683	6.580871	5.31859466666667
ENSMICG00000000687	7.583086	5.7884135
ENSMICG00000000688	5.340093	3.01856833333333
ENSMICG00000000691	0	0
ENSMICG00000000693	0.6213059	0.103017895
ENSMICG00000000696	5.434995	0.0471466166666667
ENSMICG00000000697	6.09434	4.06429983333333
ENSMICG00000000698	6.069178	2.02601516666667
ENSMICG00000000700	3.374911	2.10804025
ENSMICG00000000703	0	0
ENSMICG00000000704	0.09577052	0.0377316466666667
ENSMICG00000000711	2.63424	0.831753983333333
ENSMICG00000000713	0	0
ENSMICG00000000716	2.594506	1.42189588333333
ENSMICG00000000720	5.956902	2.42930466666667
ENSMICG00000000721	3.254613	1.26092991666667
ENSMICG00000000722	1.737994	7.19995066666667
ENSMICG00000000723	4.390083	1.56048843333333
ENSMICG00000000724	5.524625	2.09602183333333
ENSMICG00000000727	0	8.54077766666667
ENSMICG00000000729	0	0
ENSMICG00000000730	0.4234491	0.097762825
ENSMICG00000000731	3.678962	0.143917316666667
ENSMICG00000000732	5.794525	2.59422066666667
ENSMICG00000000733	3.546944	1.61152868333333
ENSMICG00000000735	0	0
ENSMICG00000000736	0	0.96103355
ENSMICG00000000738	4.071752	3.62100483333333
ENSMICG00000000741	6.318734	5.3518605
ENSMICG00000000742	2.272925	1.31926756666667
ENSMICG00000000746	3.076617	0.6393787
ENSMICG00000000748	6.424365	3.81074066666667
ENSMICG00000000749	5.896151	3.88418683333333
ENSMICG00000000753	2.291657	0.29076756
ENSMICG00000000754	1.687468	1.19180303333333
ENSMICG00000000755	5.098281	4.32712183333333
ENSMICG00000000756	6.814189	2.43029583333333
ENSMICG00000000757	3.331853	1.80334973333333
ENSMICG00000000758	2.939439	1.21779341666667
ENSMICG00000000759	0	0
ENSMICG00000000761	6.476213	4.3036915
ENSMICG00000000763	3.803775	1.88410066666667
ENSMICG00000000765	4.480149	1.1109725
ENSMICG00000000767	0.6371354	1.49302741666667
ENSMICG00000000769	4.846894	4.153887
ENSMICG00000000770	7.222409	5.009453
ENSMICG00000000773	3.935865	0.136752705
ENSMICG00000000774	4.994601	4.76030566666667
ENSMICG00000000775	6.712036	5.96891133333333
ENSMICG00000000776	6.429618	5.69087666666667
ENSMICG00000000777	2.579815	0.6341319
ENSMICG00000000778	2.349068	2.82722783333333
ENSMICG00000000779	4.781277	2.48898683333333
ENSMICG00000000780	4.8448	2.23216166666667
ENSMICG00000000781	5.344154	3.35796533333333
ENSMICG00000000782	3.478351	1.08745583333333
ENSMICG00000000784	5.128425	3.0434975
ENSMICG00000000785	3.438621	3.56118416666667
ENSMICG00000000787	5.554773	2.73265966666667
ENSMICG00000000788	4.830778	1.84379076666667
ENSMICG00000000789	5.694997	2.98329083333333
ENSMICG00000000793	2.976362	2.15030166666667
ENSMICG00000000794	5.129255	3.154368
ENSMICG00000000795	6.534956	3.50794
ENSMICG00000000797	4.726535	3.1405415
ENSMICG00000000800	5.238638	5.020317
ENSMICG00000000801	4.853331	2.1047255
ENSMICG00000000803	5.049385	2.35365846666667
ENSMICG00000000806	4.400629	3.3410195
ENSMICG00000000807	5.296292	4.72520483333333
ENSMICG00000000808	4.779727	4.3167335
ENSMICG00000000809	4.874506	3.55728616666667
ENSMICG00000000810	0.394975	0.013823755
ENSMICG00000000812	5.09301	3.93213433333333
ENSMICG00000000813	8.068581	4.83610783333333
ENSMICG00000000814	3.220799	3.10927266666667
ENSMICG00000000815	3.550337	0.4402782
