brain	kidney	liver	ovary	testis
ENSFDAG00000000244	7.670508	6.82722525	6.2354675	7.283019	6.2672225
ENSFDAG00000000245	3.371205	2.4705765	1.315700575	2.5746465	1.200364
ENSFDAG00000000246	0	0	0	0	0.0679808
ENSFDAG00000000247	5.563921	4.189414	3.0514165	4.5915375	4.691438
ENSFDAG00000000248	2.711515	1.999535125	3.31207575	1.7273705	2.9642035
ENSFDAG00000000250	3.741111	4.03953375	3.5126695	3.792359	4.224443
ENSFDAG00000000252	5.898561	4.73948975	3.38288525	5.1735935	5.0729645
ENSFDAG00000000255	7.954063	5.84446175	3.45173375	5.0833625	3.1810165
ENSFDAG00000000259	6.645568	0.8121279	0.431087725	1.5832635	3.213273
ENSFDAG00000000260	1.658614	1.8541475	1.061178375	4.008184	3.68533
ENSFDAG00000000265	0	0	0	0.07000385	0.332126
ENSFDAG00000000267	4.661676	3.64006575	3.1203	1.486202	4.9834935
ENSFDAG00000000269	2.006977	3.649644	0.3899403	5.268849	2.755203
ENSFDAG00000000270	0	0	0	0	0
ENSFDAG00000000272	0.6433039	0.191119875	0.4700198	2.256488	1.609139
ENSFDAG00000000273	4.077217	3.00041375	2.96789225	3.147428	3.3209475
ENSFDAG00000000280	4.954438	3.9078685	4.44057025	4.402412	3.613851
ENSFDAG00000000281	3.892265	3.30201225	2.43883975	3.381767	2.5615775
ENSFDAG00000000282	4.851399	4.87428575	3.08095075	4.774313	7.081228
ENSFDAG00000000283	0	0	0	0	0
ENSFDAG00000000284	5.877752	5.61930875	4.01229925	5.75674	6.6302335
ENSFDAG00000000286	5.874662	3.282917	2.8739315	0.2182343	0.94457195
ENSFDAG00000000290	5.083554	5.23734225	6.9127295	4.688663	4.9116795
ENSFDAG00000000293	0	0	0	0	0
ENSFDAG00000000294	5.316099	5.4083995	4.93458525	5.7942065	6.264924
ENSFDAG00000000295	4.483719	3.8644335	3.05509825	3.6533025	5.9456675
ENSFDAG00000000296	5.943338	5.96673625	4.211934	5.9479705	5.9410975
ENSFDAG00000000297	3.911734	5.09245425	3.7339855	2.625098	3.3765
ENSFDAG00000000298	4.683775	3.427653	2.385443	2.965622	4.348327
ENSFDAG00000000302	0.222629	0	0	0	0
ENSFDAG00000000306	3.648247	2.3050765	2.025712	2.4201045	2.905831
