brain	heart	ovary	testis
FBgn0000278	0.668529792727273	5.1503045	0.0686047637931034	0.360823683333333
FBgn0000279	1.58694689090909	6.787007	0.275053600172414	0.891506535714286
FBgn0000280	0	0	0	0.0942847666666667
FBgn0000281	0.0579854727272727	1.0291015	0	0.161638573809524
FBgn0000283	6.14276210909091	3.456048	6.01930046551724	3.98852445238095
FBgn0000286	4.5849128	4.46882625	4.20749572413793	3.8904424047619
FBgn0000287	3.33773174545455	1.41044875	0.0157323761551724	3.81189062
FBgn0000289	6.463387	3.75288125	6.16629227586207	4.62402728571429
FBgn0000299	5.09193629090909	5.95011525	4.60622348275862	3.27643088095238
FBgn0000303	5.8075998	0.453245475	0.0935383593103448	0.76023864452381
FBgn0000307	5.08440723636364	2.36290825	4.9681600862069	2.82796003095238
FBgn0000308	8.97096905454545	9.02319325	8.95597313793103	8.47271283333333
FBgn0000316	5.48689914545455	4.10846775	5.87776746551724	3.17167552380952
FBgn0000317	2.389086	2.1542585	3.85409939137931	2.14492554904762
FBgn0000318	7.81530381818182	7.78024425	7.1135824137931	7.99764976190476
FBgn0000319	6.84274603636364	6.82008375	7.07494456896552	5.34165876190476
FBgn0000320	2.84911898181818	0.3738394	3.24495806206897	3.90688828571429
FBgn0000326	3.82049650909091	4.16851925	3.60945570689655	3.11383687619048
FBgn0000330	5.07838567272727	3.56971025	4.31235913793103	3.11427947619048
FBgn0000337	0.536742135272727	0.787998225	1.13983744482759	0.895369980952381
FBgn0000339	6.54685527272727	6.82113225	6.01407398275862	6.06497354761905
FBgn0000346	7.61302561818182	1.2790815	2.37991916206897	4.63148116666667
FBgn0000351	1.25231276	1.50971925	5.42627229310345	1.3303428047619
FBgn0000352	4.42521525454545	1.50549625	4.22253336206897	2.3611100047619
FBgn0000355	0.693895290909091	0.447111425	11.8277044655172	3.42963215952381
FBgn0000356	0.212012563636364	0.16721255	9.28920461551724	0.309753921428571
FBgn0000357	1.34094866	1.169988175	9.80828936206897	2.01435691666667
FBgn0000358	0.309265527272727	0.37785625	9.82931331896552	0.425874266428571
FBgn0000359	0.281343349636364	0.19219016	10.0292512413793	0.641829662380952
FBgn0000360	0.294728234727273	0.1378420925	10.2435936724138	0.769695258571429
FBgn0000370	9.01039732727273	9.1918435	7.88090212068966	7.78088676190476
FBgn0000376	3.81124436363636	1.835041	4.62713434482759	1.5828801952381
