brain	kidney	liver
ENSMAUG00000000252	0.24136236	1.04718753375	0.942895826428571
ENSMAUG00000000253	5.0485826	3.998653563	2.64575359821429
ENSMAUG00000000254	7.9125422	7.39874338525	6.374398882
ENSMAUG00000000255	0.263306	0.27794050475	0.268611423571429
ENSMAUG00000000256	6.5574556	5.086043335	4.61195098907143
ENSMAUG00000000257	1.4718924	0.467649975	0.0939080440714286
ENSMAUG00000000258	1.5124864	2.767039282	1.52337783542857
ENSMAUG00000000259	2.8614194	0.1853058	0.0708591557142857
ENSMAUG00000000260	4.2148516	4.56126902675	4.14420782864286
ENSMAUG00000000261	5.6909954	4.71849703775	1.68735911842857
ENSMAUG00000000262	4.9435072	1.97429305375	2.95129836971429
ENSMAUG00000000263	7.2014594	0.160832721	0
ENSMAUG00000000264	2.1830818	0.9615590585	0
ENSMAUG00000000265	5.9317078	0.24292155	0
ENSMAUG00000000266	0.029490462	0.0404313	0
ENSMAUG00000000267	0.079911194	0.0309662705	0
ENSMAUG00000000268	5.2632598	5.7967533335	4.1357171945
ENSMAUG00000000269	0.021309142	0.017204505	0.117802252142857
ENSMAUG00000000270	4.680637	4.15366198975	3.09589574864286
ENSMAUG00000000271	6.2912654	5.47621920075	5.08627756735714
ENSMAUG00000000272	0.48975466	0.50755418225	0.0211911578571429
ENSMAUG00000000273	6.524766	1.21094725	0.0177227807142857
ENSMAUG00000000274	5.633857	8.3360298575	9.93560051842857
ENSMAUG00000000275	4.4279602	4.11315809825	4.21206900985714
ENSMAUG00000000276	2.830646	1.957434736	1.65970049814286
ENSMAUG00000000277	0	0	0
ENSMAUG00000000278	0	0	0
ENSMAUG00000000279	1.899076	3.082348738	0.192264307142857
ENSMAUG00000000280	5.5376766	5.77196353375	2.64590298
ENSMAUG00000000281	4.708825	4.03345440825	2.14024325571429
ENSMAUG00000000282	8.5408132	4.2102965	0.5893475
ENSMAUG00000000283	6.261715	5.09543061125	4.53110042764286
ENSMAUG00000000284	1.8309605	0.09312678675	0.046041
ENSMAUG00000000285	5.0810786	3.25324204525	2.00377251014286
ENSMAUG00000000286	2.0534906	1.13802675	0.01399875
ENSMAUG00000000287	7.8275866	7.11059044425	6.18497133678571
ENSMAUG00000000288	5.1765	4.17675123725	4.31079497228571
ENSMAUG00000000289	3.2806552	0.49916541075	0.1199191005
ENSMAUG00000000290	3.813678	5.018309294	1.677569561
ENSMAUG00000000291	4.3913356	6.37952204225	6.43586655014286
ENSMAUG00000000292	0.98352052	0.13945695675	0.0964095390714286
ENSMAUG00000000293	0.3371397	0	0.0938141679285714
ENSMAUG00000000294	6.6575244	2.4115178205	1.009398448
ENSMAUG00000000295	5.7765814	2.64169325	3.76300347371429
ENSMAUG00000000296	10.1799228	8.96964425175	2.34678892857143
ENSMAUG00000000297	7.8818662	8.20418731575	8.24729457971429
ENSMAUG00000000298	2.6405052	1.8070045	0.0120170292857143
ENSMAUG00000000299	2.855273	2.72184424925	3.745462944
ENSMAUG00000000300	5.6476912	4.784323654	3.46921265528571
ENSMAUG00000000301	6.2598976	6.42439875125	5.20823780728571
ENSMAUG00000000302	5.9896546	5.05659085075	4.02766959585714
ENSMAUG00000000303	4.7062362	4.49949803	2.15851048685714
ENSMAUG00000000304	2.013886	4.02028054275	2.16193665928571
ENSMAUG00000000305	0.331302086	0.99917611425	1.07663535235714
ENSMAUG00000000306	0.73013456	5.5512995	0.304854821428571
