brain	kidney	liver	testis
ENSPMAG00000000092	2.12500621563636	0.9253044	0.2308234	3.249145
ENSPMAG00000000093	0.413600528090909	0.319256466666667	0.16277486	0.5971211
ENSPMAG00000000094	2.37351444027273	5.63772466666667	2.479673	1.383784
ENSPMAG00000000095	1.75589466254545	0.3144359	0	1.068403
ENSPMAG00000000096	2.18073318109091	3.33368933333333	4.190459	4.289657
ENSPMAG00000000097	0.423936676181818	1.05515063333333	8.9489501	0.7436244
ENSPMAG00000000098	1.89573178563636	3.68850966666667	4.1236048	3.320522
ENSPMAG00000000099	1.26214790872727	3.80837833333333	3.34287236	0.397355
ENSPMAG00000000100	3.68275654481818	1.4104367	1.5654488	7.79565
ENSPMAG00000000101	1.61371945418182	0.147686033333333	0	3.379076
ENSPMAG00000000102	5.27361616027273	6.32176433333333	4.8559994	6.489048
ENSPMAG00000000103	1.59380298881818	0	0	0
ENSPMAG00000000104	1.36034550954545	2.61778566666667	1.3237256	4.48143
ENSPMAG00000000105	5.76733504227273	4.55375766666667	3.89108122	4.460172
ENSPMAG00000000106	6.05254599672727	4.52892966666667	3.59426192	5.454831
ENSPMAG00000000107	4.26857811490909	3.25531533333333	2.3021536	2.814729
ENSPMAG00000000108	2.07800703836364	4.42143133333333	3.69767802	3.706044
ENSPMAG00000000109	3.78244928472727	1.452255	0.795314	0.5249623
ENSPMAG00000000110	4.13787586972727	4.83741266666667	2.1703474	6.720073
ENSPMAG00000000111	4.67179849809091	6.69185433333333	3.2603908	4.589404
ENSPMAG00000000112	2.24458152627273	1.33100733333333	0.4355752	4.383843
ENSPMAG00000000113	4.42882200936364	6.68655566666667	4.706768	8.187199
ENSPMAG00000000114	0.292086070363636	1.21077233333333	1.04686812	2.629175
ENSPMAG00000000115	1.48436043636364	4.27637866666667	2.7115398	2.62689
ENSPMAG00000000116	1.547510575	3.50426166666667	0.3684486	10.54304
ENSPMAG00000000117	1.06138953045455	1.33346433333333	0.20708048	8.742089
ENSPMAG00000000118	1.57820994727273	0.1292936	0	0.5280662
ENSPMAG00000000119	7.09794032545455	6.96837966666667	5.959807	6.346531
ENSPMAG00000000120	2.467485121	3.17391033333333	2.1118286	2.541242
