brain	testis
ENSTGUG00000000185	0.301998722222222	0.4402373
ENSTGUG00000000186	4.872651	5.59575266666667
ENSTGUG00000000187	0.952766677777778	2.67319733333333
ENSTGUG00000000188	0.351842511111111	1.16894436666667
ENSTGUG00000000189	5.86220433333333	3.481122
ENSTGUG00000000190	2.20223855555556	5.17071166666667
ENSTGUG00000000191	3.68645244444444	5.91038666666667
ENSTGUG00000000192	0.302606	4.45550266666667
ENSTGUG00000000193	8.39178288888889	8.73666033333333
ENSTGUG00000000194	0.113991067777778	2.206945
ENSTGUG00000000195	0.878135266666667	3.10390266666667
ENSTGUG00000000196	4.49084388888889	4.37006566666667
ENSTGUG00000000197	0.302028244444444	5.405975
ENSTGUG00000000198	3.96759233333333	0.271657166666667
ENSTGUG00000000199	4.11878211111111	3.19025866666667
ENSTGUG00000000200	6.17462022222222	7.001578
ENSTGUG00000000201	3.53340011111111	3.71957
ENSTGUG00000000202	4.60141455555556	4.39810633333333
ENSTGUG00000000203	0.689067288888889	1.14712966666667
ENSTGUG00000000204	9.66507811111111	9.63135833333333
ENSTGUG00000000205	3.17102655555556	4.01072666666667
ENSTGUG00000000206	2.750795	3.09027666666667
ENSTGUG00000000207	0.618690777777778	0.0737478666666667
ENSTGUG00000000208	2.51745111111111	4.87994233333333
ENSTGUG00000000209	1.95661355555556	1.61291366666667
ENSTGUG00000000210	0.9892646	0.4164653
ENSTGUG00000000211	3.01774777777778	0.8645334
ENSTGUG00000000212	5.06912088888889	4.81385566666667
ENSTGUG00000000213	0.0234723777777778	0.5662988
ENSTGUG00000000214	0.461526775555556	2.503536
ENSTGUG00000000215	0.0708590266666667	0.4581416
ENSTGUG00000000216	0.253759541111111	0.0706389333333333
ENSTGUG00000000217	0.2107883	0.580237833333333
ENSTGUG00000000218	2.93742622222222	0.2774575
ENSTGUG00000000219	3.50698688888889	4.29131766666667
ENSTGUG00000000220	0.109429966666667	0.992565133333333
ENSTGUG00000000221	4.606045	3.352482
ENSTGUG00000000222	2.0070016	0.571655866666667
ENSTGUG00000000223	2.19325608888889	3.42143033333333
ENSTGUG00000000225	0.33233669	0.384908033333333
ENSTGUG00000000226	0.234385221111111	0.241236633333333
ENSTGUG00000000227	1.08440734444444	0.37945419
ENSTGUG00000000228	0.232691232222222	3.80757766666667
ENSTGUG00000000229	0.410954766666667	2.13877133333333
ENSTGUG00000000230	3.54287833333333	2.16093066666667
ENSTGUG00000000231	3.10154744444444	5.17611833333333
ENSTGUG00000000232	1.17365963333333	0.723543833333333
ENSTGUG00000000233	8.55195877777778	6.73372633333333
ENSTGUG00000000234	0.109683477777778	0
ENSTGUG00000000235	0.0288343	1.06055836666667
ENSTGUG00000000236	6.43901688888889	5.67875766666667
ENSTGUG00000000237	4.72465233333333	7.17300933333333
ENSTGUG00000000238	3.00351655555556	3.17949833333333
ENSTGUG00000000239	1.21927766666667	3.18812533333333
ENSTGUG00000000240	1.7633618	5.15738466666667
ENSTGUG00000000241	5.62311133333333	2.08575633333333
ENSTGUG00000000242	3.97566966666667	2.74728966666667
ENSTGUG00000000243	7.43124711111111	7.28767266666667
ENSTGUG00000000244	3.99670422222222	4.440148
ENSTGUG00000000245	2.756312	7.28879333333333
