brain	heart	liver
ENSMGAG00000000712	1.8136012589	3.658790863	1.29267753464286
ENSMGAG00000000713	5.3414593345	2.785591932	3.02801490835714
ENSMGAG00000000714	0	0	0.161457509857143
ENSMGAG00000000715	4.482458859	3.4827383476	4.1047020385
ENSMGAG00000000716	4.5266782284	2.5098100972	2.23647830792857
ENSMGAG00000000717	5.0210450315	2.1161470899	0.204492586
ENSMGAG00000000718	4.186282314	3.985430624	3.79500874735714
ENSMGAG00000000719	6.1365607247	5.267334652	4.69235011657143
ENSMGAG00000000721	0.113108477	0.1006282221	0.00493428335714286
ENSMGAG00000000722	0.077255037	0.071625953	0.022961965
ENSMGAG00000000723	5.2871142422	4.6796986023	4.78427823614286
ENSMGAG00000000724	4.488733388	3.2013026804	2.90946186942857
ENSMGAG00000000725	7.893560818	5.3460603862	2.9024482635
ENSMGAG00000000726	5.1972342979	4.6056704366	4.92025232478571
ENSMGAG00000000727	0.1379642333	0.0877676803	0.0225960194285714
ENSMGAG00000000729	1.9468378604	1.3057168409	0.127895549857143
ENSMGAG00000000730	0.6309120374	1.295188735	2.505445867
ENSMGAG00000000731	3.3602619434	2.7886671657	2.44747005514286
ENSMGAG00000000732	5.6323662011	5.5123177466	6.16713503692857
ENSMGAG00000000733	1.9443701598	0.655208311	1.7256828255
ENSMGAG00000000734	0	0	0.806405113571429
ENSMGAG00000000735	0	0	0.00546130428571429
ENSMGAG00000000736	6.0347498561	5.5638854107	6.18571105978571
ENSMGAG00000000737	0.7713688744	0.020835253	0.309508656928571
ENSMGAG00000000738	5.9970705773	6.0809325303	5.203279865
ENSMGAG00000000739	0.2533575362	0.1982774718	0.0527202515
ENSMGAG00000000740	0.0247426887	0	0.0315355526428571
ENSMGAG00000000741	0.9262916372	0	1.78432769492857
ENSMGAG00000000742	7.1609889577	3.871499883	2.55196302785714
ENSMGAG00000000743	1.4142580384	0.1338436528	0.216318933785714
ENSMGAG00000000744	1.697275383	2.9971010609	0.179161307285714
ENSMGAG00000000745	3.5250733312	2.9803823404	2.81879719857143
ENSMGAG00000000746	3.9933817671	0.1167362084	0.688570181142857
ENSMGAG00000000747	8.40918299	3.0203165425	3.25699180628571
ENSMGAG00000000748	5.8908738484	4.9882155488	3.90286151171429
ENSMGAG00000000749	7.1621499175	3.2869036349	1.49496250778571
ENSMGAG00000000750	6.1880035055	4.4040468891	3.52766471792857
ENSMGAG00000000752	3.1067820742	2.4332906795	2.1930215835
ENSMGAG00000000753	3.1163663509	1.0312859768	1.25997804857143
ENSMGAG00000000754	3.4346125654	2.7619355015	1.9475747055
ENSMGAG00000000755	4.1879427584	3.5843829812	3.6652444915
ENSMGAG00000000756	5.2640039736	0.7417394399	0.0333762214285714
ENSMGAG00000000757	1.3080827162	5.2084311188	0.542428482714286
ENSMGAG00000000758	0.822823828	0.1436939595	0.309959043357143
ENSMGAG00000000759	3.4253711932	0.8339911548	0.520572351285714
ENSMGAG00000000760	6.3212851964	5.3924894745	4.32432415442857
ENSMGAG00000000761	2.6542799654	3.5156196573	4.81967987957143
