brain	kidney	liver
ENSEEUG00000000236	1.5600395	2.617804	0.63888545
ENSEEUG00000000237	5.0837455	2.0037185	0.40885805
ENSEEUG00000000238	5.0194045	4.4040335	3.5573775
ENSEEUG00000000239	5.0939525	6.3499355	6.202481
ENSEEUG00000000240	5.614482	7.3479375	6.227612
ENSEEUG00000000241	4.8189305	7.5714675	14.11193
ENSEEUG00000000242	4.5756745	4.4051595	4.627602
ENSEEUG00000000243	6.1421515	6.5020045	4.726542
ENSEEUG00000000244	3.27088	2.8666175	1.9747735
ENSEEUG00000000245	2.1649125	0	0
ENSEEUG00000000246	0.4391551	0.73775635	0.60982385
ENSEEUG00000000247	4.9867875	2.927552	0.37841555
ENSEEUG00000000248	0.31471655	0.043977755	0.062522455
ENSEEUG00000000249	2.6182435	2.966124	1.5779785
ENSEEUG00000000250	5.4083585	7.929427	14.609935
ENSEEUG00000000251	3.128094	0	0
ENSEEUG00000000252	5.701186	4.926489	3.4655085
ENSEEUG00000000253	0	0	0
ENSEEUG00000000254	5.5196865	4.260561	3.1112055
ENSEEUG00000000255	2.591985	4.0799585	1.5292575
ENSEEUG00000000256	6.123075	6.82118	5.928897
ENSEEUG00000000257	2.6050465	3.2057355	3.0091895
ENSEEUG00000000258	9.6548545	10.236355	9.45358
ENSEEUG00000000259	4.841698	4.430101	3.0655165
ENSEEUG00000000260	5.58734	5.640084	3.81577
ENSEEUG00000000261	3.198997	1.3251905	0.5911187
ENSEEUG00000000262	6.8496985	7.907047	6.629803
ENSEEUG00000000263	0.77165105	0.11859035	0
ENSEEUG00000000264	5.094473	5.1412655	3.460776
ENSEEUG00000000265	2.7984125	2.807627	1.5660495
ENSEEUG00000000266	3.8978615	4.118615	2.4636365
ENSEEUG00000000267	5.371892	5.0239685	3.878153
ENSEEUG00000000268	5.110705	0.59480135	2.0363295
ENSEEUG00000000269	2.9750585	1.035076	0
ENSEEUG00000000270	5.327301	4.7943365	3.683844
ENSEEUG00000000271	4.525885	3.6839015	2.496605
ENSEEUG00000000272	2.776062	3.41798	2.847849
ENSEEUG00000000273	3.4091285	2.769671	0.5099733
ENSEEUG00000000274	8.5928965	9.1754875	8.1832045
ENSEEUG00000000275	0.98964295	0.3605726	0.4703749
ENSEEUG00000000276	0.63168515	0.9231024	0.12090739
ENSEEUG00000000277	1.14097195	2.3771785	0.13127275
ENSEEUG00000000278	4.54452	4.321754	2.8607835
ENSEEUG00000000279	7.042748	4.78008	1.14820795
ENSEEUG00000000280	4.4425915	5.178615	0
ENSEEUG00000000281	10.50163	11.00328	10.314765
ENSEEUG00000000282	6.0045285	0.063746	0
ENSEEUG00000000283	2.9785345	3.377019	1.100814
ENSEEUG00000000284	0.741783	1.0226038	1.4331185
ENSEEUG00000000285	4.757788	5.496122	4.254952
ENSEEUG00000000286	4.943076	4.8136	3.370749
ENSEEUG00000000287	4.337079	5.964946	5.673215
ENSEEUG00000000288	0	0	0
ENSEEUG00000000289	0.3133754	1.46124	0
ENSEEUG00000000290	2.035813	2.171801	1.127291
ENSEEUG00000000291	4.706902	4.9470425	4.3667055
ENSEEUG00000000292	1.4959095	6.306618	0.29055655
ENSEEUG00000000293	0.6271685	0.4715338	0.1844551
ENSEEUG00000000294	3.5997495	3.6907415	2.420662
ENSEEUG00000000295	5.71122	4.4738255	2.8643145
ENSEEUG00000000296	6.046162	8.024596	11.21198
ENSEEUG00000000297	7.3155325	4.219	2.053091
ENSEEUG00000000298	0.068518	5.0877095	0.05063585
ENSEEUG00000000299	0	0	0
ENSEEUG00000000300	6.3560265	4.5555355	2.773029
ENSEEUG00000000301	1.9557305	0.6442427	0
ENSEEUG00000000302	4.4310635	4.7489595	3.3295375
ENSEEUG00000000303	4.059611	6.5021305	3.4423135
ENSEEUG00000000304	1.7223485	1.615454	0.94323015
ENSEEUG00000000305	1.6026559	0.4707292	0.38660735
ENSEEUG00000000306	0.151311	0.1713957	5.5702395
ENSEEUG00000000307	2.8937035	0.85265205	0.92498035
ENSEEUG00000000308	1.6719465	0.95239075	0
ENSEEUG00000000309	2.410279	0.98497155	0.39572865
ENSEEUG00000000310	2.2243445	0.40271475	0
ENSEEUG00000000311	0.64248965	1.213743	2.8993035
ENSEEUG00000000312	0	0	0
ENSEEUG00000000313	3.818316	3.274154	1.6302455
ENSEEUG00000000314	5.938954	5.1060415	3.27813
ENSEEUG00000000315	3.9677815	0.66419115	0.35143645
ENSEEUG00000000316	4.034164	5.465224	4.3452765
ENSEEUG00000000317	5.16678	4.729913	4.5622295
ENSEEUG00000000318	0	0	0
ENSEEUG00000000319	0	0	1.1036213
ENSEEUG00000000320	0	0	0
ENSEEUG00000000321	3.9570145	2.838257	0.7414983
ENSEEUG00000000322	4.705939	5.180986	3.550043
ENSEEUG00000000323	0.8743996	0.5931721	0.1673568
ENSEEUG00000000324	0	0	0
ENSEEUG00000000325	0.76389255	1.3227497	0.2453359
ENSEEUG00000000326	3.564398	0.932743	0.771824
ENSEEUG00000000327	3.424859	1.71253	1.470634
ENSEEUG00000000328	0	0	0
ENSEEUG00000000329	2.7887635	1.21547505	2.3755955
ENSEEUG00000000330	1.43842745	0.4429716	0
ENSEEUG00000000331	1.27274145	0.27102745	0
ENSEEUG00000000332	0.068067785	0	0.107634555
ENSEEUG00000000333	0	0	0
ENSEEUG00000000334	6.226551	4.5790085	3.862466
ENSEEUG00000000335	6.260741	6.91241	5.1419225
ENSEEUG00000000336	0	0	0
ENSEEUG00000000337	0	0.9954065	0
ENSEEUG00000000338	0	0	0
ENSEEUG00000000339	0.6312846	0.5210765	0
ENSEEUG00000000340	0	0	0.68127565
ENSEEUG00000000341	4.7384635	1.29367355	0
ENSEEUG00000000342	11.61879	12.519815	11.870655
ENSEEUG00000000343	3.0932225	0.22963805	0
ENSEEUG00000000344	4.4956795	4.7238605	4.4581405
ENSEEUG00000000345	0	0	0
ENSEEUG00000000346	1.441601	0.63429775	1.00497485
ENSEEUG00000000347	3.394642	4.6174065	0.43990185
ENSEEUG00000000348	1.3892519	1.383896	1.068068
ENSEEUG00000000349	7.9284065	10.4567	10.79375
ENSEEUG00000000350	6.2473645	0.3628204	0.13961735
ENSEEUG00000000351	4.172335	4.232514	2.6853015
ENSEEUG00000000352	0	0	0
ENSEEUG00000000353	1.8408125	0.565867	0
ENSEEUG00000000354	0	1.084231	0
ENSEEUG00000000355	1.80974	0.6721585	0.14179205
ENSEEUG00000000356	5.819526	6.4363505	5.8440115
ENSEEUG00000000357	4.2199235	4.7490755	2.181317
ENSEEUG00000000358	4.510682	2.974932	0.1161198
ENSEEUG00000000359	6.1810205	6.2209805	5.5515995
ENSEEUG00000000360	0	0	0
ENSEEUG00000000361	1.01823475	5.6881505	0
ENSEEUG00000000362	0.8670525	1.512182	0.4368511
ENSEEUG00000000363	5.2228295	3.874417	2.8367365
ENSEEUG00000000364	5.9671605	5.862518	4.59098
ENSEEUG00000000365	6.590134	5.7774835	3.785115
ENSEEUG00000000366	5.337727	4.818994	3.174697
ENSEEUG00000000367	3.387574	8.01147	1.45128911704
ENSEEUG00000000368	2.2927665	1.8736165	0.28890125
ENSEEUG00000000369	0	0	0
ENSEEUG00000000370	2.0928975	2.9158905	0.4343197
ENSEEUG00000000371	0	0	0
ENSEEUG00000000372	3.3316335	3.3859895	1.9586195
ENSEEUG00000000373	1.529754	9.6487615	6.441197
ENSEEUG00000000374	4.765519	0	0
ENSEEUG00000000375	8.715814	9.206787	7.9039345
ENSEEUG00000000376	5.0146975	0.2211968	0
ENSEEUG00000000377	4.5771045	3.871095	2.2612155
ENSEEUG00000000378	9.37817	11.20008	10.382205
ENSEEUG00000000379	2.288509	0	0.7685369
ENSEEUG00000000380	4.4037735	4.257721	3.093361
ENSEEUG00000000381	4.0341895	3.051402	0.7256738
ENSEEUG00000000382	3.0078535	7.825832	7.523129
ENSEEUG00000000383	0	0.6555607	0
ENSEEUG00000000384	5.117751	5.0368565	3.7783275
ENSEEUG00000000385	1.6004635	5.3279455	2.247598
ENSEEUG00000000386	1.30641545	0.53837085	0
ENSEEUG00000000387	0	0	0
ENSEEUG00000000388	3.959354	5.313894	3.7730285
ENSEEUG00000000389	2.2426155	4.3699405	0.0993024
