brain	heart	kidney	liver	testis
ENSMFAG00000000186	0.02301975	0.61391475	0.39390862	0.1134	0.2611565
ENSMFAG00000000187	0.74043255	0.70217155	0.31697922	0.32011528	0
ENSMFAG00000000188	0.15162154	0.3389155	0.483940628	0.332109292	1.740963
ENSMFAG00000000189	2.3970165	3.663042	4.030131	4.554763	4.115859
ENSMFAG00000000190	0.66077595	0	1.3948144	0.39351362	2.218397
ENSMFAG00000000191	0	0	0.35776328	0.10969996	8.226456
ENSMFAG00000000192	1.686788	0.06738175	0.163521426	0	2.476352
ENSMFAG00000000193	0.65666605	0.75308025	1.0492093	0.38479374	0.6856989
ENSMFAG00000000194	0	0	0	0.15983438	0
ENSMFAG00000000195	1.4927005	2.3815045	4.2174178	2.2439072	2.340161
ENSMFAG00000000196	3.0563725	6.023936	5.223822	3.5706924	4.824684
ENSMFAG00000000197	4.0411855	3.814813	4.976532	4.1279528	5.5972
ENSMFAG00000000198	4.9735435	4.6493045	4.9324288	4.0844826	7.183008
ENSMFAG00000000199	1.21797145	3.3444555	3.28402236	1.68868594	1.018576
ENSMFAG00000000200	0	0.023435	2.8437152	0.20598692	6.98449
ENSMFAG00000000201	4.1471725	4.1092725	5.1313706	4.1099164	4.616919
ENSMFAG00000000202	0	0.12432025	3.8414934	4.6990032	0.4375601
ENSMFAG00000000203	3.4659455	7.2077915	3.2523472	1.5584394	4.975315
ENSMFAG00000000204	0.32069905	1.15393635	0.8773864	2.38210106	0.1882401
ENSMFAG00000000205	4.6855105	5.352302	6.3961276	3.3202444	7.73077
ENSMFAG00000000206	3.342465	4.026021	5.0557082	4.0301908	5.033884
ENSMFAG00000000207	1.5930265	3.0555275	4.086597	3.5287672	1.985471
ENSMFAG00000000208	2.1831125	0.48712565	0.203149814	0.039817182	4.484203
ENSMFAG00000000209	9.04113	5.9181215	0.21502958	0.151586648	1.85259
ENSMFAG00000000210	1.26435915	1.14071025	1.32935032	1.23775266	1.154301
ENSMFAG00000000211	2.197595	1.97543	2.6548782	1.7886736	5.909088
