brain	heart	kidney	liver
ENSPANG00000000282	2.798528	3.69847057142857	5.977606	3.61292085714286
ENSPANG00000000283	4.960507	5.84335914285714	6.226936	5.3358595
ENSPANG00000000284	3.566267	0.818347692857143	2.122149	0.717713358571429
ENSPANG00000000290	0	2.23659921428571	3.4928	0.924274664285714
ENSPANG00000000291	5.642644	0.288485064285714	0.4321555	0.618985333571429
ENSPANG00000000294	0	1.05232796428571	1.427402	0.293365815
ENSPANG00000000295	0	2.717422	3.403239	1.23485357142857
ENSPANG00000000300	4.318245	2.601047	3.82654	1.29930064285714
ENSPANG00000000301	2.654456	1.32829835714286	0.8940246	0.345386362142857
ENSPANG00000000304	4.373843	2.85841421428571	4.285047	2.16020178571429
ENSPANG00000000305	3.547006	2.12010899285714	3.980282	0.273004458571429
ENSPANG00000000308	6.640888	1.05039307142857	5.539528	0.897246071428571
ENSPANG00000000309	0	0.0356938814285714	0.4532457	0.162665685714286
ENSPANG00000000311	0	0.0147915071428571	0.1312962	0.0724506357142857
ENSPANG00000000312	4.474923	5.01230471428571	4.038606	0.979020107142857
ENSPANG00000000313	6.415691	3.891016	3.766763	1.94003053571429
ENSPANG00000000314	0	1.85791362142857	4.052842	1.59184229285714
ENSPANG00000000315	4.743876	2.12046035714286	6.985751	6.56943635714286
ENSPANG00000000317	0	0.134892707142857	0.4605549	0.1372115
ENSPANG00000000318	0	0.014465235	0.2181091	0.0243112714285714
ENSPANG00000000319	0	0.365808742857143	3.551233	0.119731942857143
ENSPANG00000000320	0	1.2190406	3.195677	1.67378110714286
ENSPANG00000000321	0	0.525874071428571	1.146786	0.47731625
ENSPANG00000000325	6.892027	4.61398357142857	6.344056	5.13413028571429
ENSPANG00000000336	0	7.54797764285714	1.90421	8.25885935714286
ENSPANG00000000337	0	0.0188702142857143	0.5902916	0.238366312857143
ENSPANG00000000339	10.54829	8.18344228571429	8.773096	8.14834057142857
ENSPANG00000000341	0	3.80856442857143	5.919602	3.19231571428571
ENSPANG00000000344	4.603899	4.75239085714286	4.180235	3.31478678571429
ENSPANG00000000345	0	0.105890964285714	0.4911799	0.170957835
ENSPANG00000000346	0	6.34726621428571	5.811301	4.90651778571429
ENSPANG00000000347	0	0.124238421428571	0.2748449	1.03831966428571
ENSPANG00000000348	0	0.0129157735714286	0	0.203448887142857
ENSPANG00000000349	0	0.0578890857142857	0	0
ENSPANG00000000351	6.31727	4.88479621428571	6.127707	3.98831959285714
ENSPANG00000000352	4.471461	2.96157964285714	4.447447	3.100837
ENSPANG00000000354	0	2.93096128571429	3.469469	2.779532
ENSPANG00000000355	5.69841	3.24534721428571	4.334397	1.64177747142857
ENSPANG00000000356	0	0.02524805	0	0.012188715
ENSPANG00000000357	3.675059	0.913567707142857	0.363928	1.68637581428571
ENSPANG00000000360	5.779969	4.67569635714286	4.106382	2.698342
ENSPANG00000000361	0	1.56881464285714	0.206528	0.436067502142857
ENSPANG00000000363	5.212223	4.43857421428571	3.386266	0.686522135714286
ENSPANG00000000364	0	2.8197655	2.50616	1.74428977142857
ENSPANG00000000367	0	0.371048564285714	0.2509398	0.7092881
ENSPANG00000000368	3.272698	3.26116921428571	4.28426	2.8388395
ENSPANG00000000369	0	0.05228605	0.4308526	0.224759757142857
ENSPANG00000000370	2.878421	0.03419252	0.07719254	0.0219337321428571
ENSPANG00000000372	4.911624	1.22657807142857	1.867956	3.03071825
ENSPANG00000000373	3.529046	1.65908196428571	3.530083	1.58941112142857
ENSPANG00000000375	3.650075	0.821866997142857	2.495207	0.683178361428571
ENSPANG00000000376	3.868934	2.02430825	3.238717	2.11598279285714
ENSPANG00000000379	5.300347	0.651122892857143	1.278811	0.946264936428571
ENSPANG00000000381	4.09004	5.07475814285714	7.750459	4.74384514285714
ENSPANG00000000383	4.672542	2.71196582142857	3.292001	1.95215461428571
ENSPANG00000000384	3.964177	0	0	0.243426857142857
