brain	heart	kidney	liver	ovary
ENSSBOG00000000744	0	0.2554729	0.2570734	0.178327109	0.86964008
ENSSBOG00000000745	0.942696907	0.1326753	0.3687783	0.231133762	0.2117536
ENSSBOG00000000761	3.72492307	0.1446863	0.3952874	0.319720584	0.48598937
ENSSBOG00000000764	6.158831818	0	0	0	0.12852068
ENSSBOG00000000773	0.293257466	0.1647245	0.591306	0	0.21217585
ENSSBOG00000000774	0	0	0	0	0
ENSSBOG00000000775	0	0	0	0	0
ENSSBOG00000000776	4.79634337	5.085998	5.115936	3.796303911	5.89616284
ENSSBOG00000000785	3.756403139	2.566409	2.532599	1.893328425	2.84373828
ENSSBOG00000000799	0	0.05173529	0.1289464	5.896560068	0.06571416
ENSSBOG00000000800	3.100580768	0	1.04193	0.10380659	1.71032265
ENSSBOG00000000806	0	0	0	0	0
ENSSBOG00000000808	3.831096921	2.697267	4.618615	3.587635741	4.68762321
ENSSBOG00000000810	1.575463854	2.99085	3.907811	1.947835976	5.18736989
ENSSBOG00000000833	3.51148069	5.624203	5.274966	5.368443601	4.73641005
ENSSBOG00000000856	3.209138278	2.130301	4.145631	3.126037179	4.34144428
ENSSBOG00000000871	1.56817807	1.134057	1.191506	1.085615009	2.46120897
ENSSBOG00000000872	8.287115327	8.377121	8.726184	7.583138443	8.62350952
ENSSBOG00000000873	3.262512837	2.555757	2.659281	2.860200043	4.18474223
ENSSBOG00000000876	1.571846672	0.3808586	2.858264	1.56833375	3.80048579
ENSSBOG00000000887	7.031225569	3.953643	0.7406562	0	0
ENSSBOG00000000913	1.694229441	2.276338	2.124393	2.801271459	2.50263179
ENSSBOG00000000914	0.848897036	0.123228	4.507077	0.407893656	2.60678048
ENSSBOG00000000915	0	0	0	0	0.95062219
ENSSBOG00000000927	3.837769805	1.514362	3.161865	0.610830437	4.27813102
ENSSBOG00000000968	2.865087393	1.267954	2.745431	2.866401611	2.6497534
ENSSBOG00000000969	1.992688682	0.8710283	1.624443	0.702017386	2.23494271
ENSSBOG00000000970	3.628131996	0.06934265	0.2945566	5.73210093	0.84870606
ENSSBOG00000000971	0	0	0	0	0
ENSSBOG00000000985	4.009434068	3.029792	3.250472	1.844847595	3.58342882
ENSSBOG00000000986	2.367611495	0.9842627	1.995738	1.107484807	2.81744411
ENSSBOG00000000987	0	0.03333306	0	0.039322457	0.16789611
ENSSBOG00000001000	6.685183292	3.196338	3.146973	1.057249234	1.95210615
ENSSBOG00000001001	2.642533151	0.1517874	0.8176716	0	2.24254153
ENSSBOG00000001017	3.607365826	2.02164	3.468844	2.806524103	4.29573772
ENSSBOG00000001024	4.618949255	0.2531579	0.9193592	0.052450813	0.32012995
ENSSBOG00000001034	0	0	0	0	0
ENSSBOG00000001035	4.292481402	0.958496	3.359975	1.452448364	5.36402783
ENSSBOG00000001055	0	0.08417845	2.290814	0.374202634	0
ENSSBOG00000001068	1.920582954	0	0.255676	0	0.91245289
ENSSBOG00000001069	4.679069049	3.608786	4.450235	3.639822552	4.7657575
ENSSBOG00000001070	0.543924421	0.1852678	0.2799419	8.284162448	0.25815346
ENSSBOG00000001085	7.790504896	5.74599	7.922067	7.592628954	7.952881
ENSSBOG00000001086	2.367421112	2.428926	2.866627	3.250469731	2.98947003
ENSSBOG00000001088	3.536704951	2.641371	3.400557	1.195064071	3.63384559
ENSSBOG00000001098	2.458311128	1.038808	1.862856	1.919647469	3.061714
ENSSBOG00000001108	5.474138735	3.96091	6.167109	5.037064566	6.93095018
ENSSBOG00000001119	6.162002529	4.628503	5.340395	5.247978197	6.45757788
ENSSBOG00000001146	0.937904787	0.1444706	0.1091858	0	0.29333399
ENSSBOG00000001171	8.785319849	7.842535	7.717821	7.323068005	7.02903793
ENSSBOG00000001180	4.664816852	4.089068	5.304305	5.171590353	5.97788262
ENSSBOG00000001181	0	2.050839	4.923064	2.727051309	4.77063879
ENSSBOG00000001182	1.08163959	0	4.975956	1.286680103	0
ENSSBOG00000001195	2.267865348	0	0.8024588	0.690486826	1.20329514
ENSSBOG00000001196	9.646047421	2.417696	4.356848	0.969872877	5.99241496
ENSSBOG00000001197	1.712142322	0.3137648	0.7111125	0.50021976	1.64862512
ENSSBOG00000001198	4.465399883	2.677145	3.405105	2.831796189	4.48698461
ENSSBOG00000001211	1.551176375	0	0	0	0
ENSSBOG00000001212	0	0	0	0	0
ENSSBOG00000001221	0.952662329	0	0	0	0
ENSSBOG00000001222	1.28989937	4.755358	0.4663201	0.151995159	0.24112506
ENSSBOG00000001223	4.15553877	4.41085	5.154271	5.722250151	5.60365305
ENSSBOG00000001225	0.237515995	0.3322072	6.320799	0.204324799	0.57660243
ENSSBOG00000001249	3.042612822	0.8673106	1.651279	0.691803026	2.45925324
ENSSBOG00000001256	0	0	2.214188	5.361189341	0.43065674
ENSSBOG00000001266	3.64122578	2.077472	3.860167	2.696463503	4.32097777
ENSSBOG00000001277	6.266095006	5.620622	7.071495	5.398706075	7.00114919
ENSSBOG00000001289	3.615322123	3.168882	3.815729	3.92390029	3.69552641
ENSSBOG00000001299	2.035187516	0	8.821426	2.397466202	9.63171728
ENSSBOG00000001300	2.366484486	0.5121601	1.768347	1.550361892	1.97869426
ENSSBOG00000001304	7.638312818	6.424944	7.650729	6.215057281	7.77726189
ENSSBOG00000001310	1.971446068	0	0	0.45967502	0.88536195
ENSSBOG00000001311	0	0	3.259144	1.367141782	3.22162347
ENSSBOG00000001320	3.053936739	1.229379	2.796027	2.202800091	2.94053325
ENSSBOG00000001321	0	0.2262903	0	0	0.31708522
ENSSBOG00000001322	2.519509196	0.8310625	1.406417	0.350959967	0.9229757
ENSSBOG00000001338	3.010301844	2.575107	3.197903	2.732088987	3.49294272
ENSSBOG00000001340	2.752814945	1.582604	3.284259	1.805119074	2.96636955
ENSSBOG00000001345	0	0	0.1827851	0.149610565	0
ENSSBOG00000001346	5.630271494	0.2502413	0.6741343	2.068454132	1.6445116
ENSSBOG00000001358	0	0	0.09172136	6.933556469	0
ENSSBOG00000001386	9.202156156	9.444477	8.493577	8.351701642	8.57195965
ENSSBOG00000001403	2.461965126	0.4748679	3.051653	1.398295639	4.4430085
ENSSBOG00000001404	7.603196068	1.799808	1.696911	1.369176101	2.823784
ENSSBOG00000001405	5.07936531	3.62226	4.385976	3.941237801	4.18630246
ENSSBOG00000001418	7.052420242	6.193076	7.32742	5.912625916	7.72118739
ENSSBOG00000001435	0	0	0	0	0
ENSSBOG00000001451	5.506499121	4.116577	6.420722	5.805331154	6.03302207
ENSSBOG00000001463	7.575463612	7.114659	7.084043	5.914004749	6.4836852
ENSSBOG00000001467	3.516027758	1.605087	2.936777	1.876177044	3.36414516
ENSSBOG00000001468	4.215738928	1.205372	2.64865	2.037043492	3.19239872
ENSSBOG00000001473	8.413520463	5.148646	6.691873	5.317726988	7.61694503
ENSSBOG00000001475	2.117319361	2.552234	6.105739	2.810290908	7.31519486
ENSSBOG00000001483	6.31514467	4.132877	4.90407	4.122520325	5.23634796
ENSSBOG00000001484	4.873941126	2.355727	3.523938	2.776184019	3.50932847
ENSSBOG00000001513	4.501375449	4.053676	4.045294	3.509835165	4.76397452
ENSSBOG00000001529	4.82495416	3.94336	3.750184	6.614394919	5.87612497
ENSSBOG00000001543	3.982492593	2.594825	5.379033	3.210330569	5.0168729
ENSSBOG00000001553	0	0	3.66297	0	0.04293915
ENSSBOG00000001567	1.85358453	2.549149	3.913703	3.333585455	2.41488781
ENSSBOG00000001568	0	0	0	0	0
ENSSBOG00000001583	1.092051792	1.073706	3.166495	1.551383124	4.65958422
ENSSBOG00000001585	0	0	0	0	0
ENSSBOG00000001596	4.397716726	3.386131	4.216906	2.922095067	4.8234131
ENSSBOG00000001609	4.868002528	0.333821	0.410797	0.323347009	0.63097647
ENSSBOG00000001610	5.241939308	3.385417	4.975956	2.409168235	5.67579618
ENSSBOG00000001611	1.343180384	1.636288	3.084212	2.49166842	3.02741949
ENSSBOG00000001622	5.857936221	0	0	0	0
ENSSBOG00000001635	4.761242715	2.26014	3.731542	3.435232532	3.75385053
ENSSBOG00000001637	5.380607976	2.343938	3.392525	1.967554025	2.95459537
ENSSBOG00000001653	0	0	0.284854	0.348360477	0.27871513
ENSSBOG00000001654	1.740996618	0.9008108	1.475245	1.007158895	2.15979708
ENSSBOG00000001677	3.372956276	5.118588	5.154802	6.123945489	4.58256985
ENSSBOG00000001688	0.227021397	0	0.4149095	0.055197737	0.15370678
ENSSBOG00000001707	4.976110638	1.017918	2.956376	2.177423525	4.72615439
ENSSBOG00000001708	9.147772223	7.321793	7.767886	6.013645377	8.43899556
ENSSBOG00000001721	2.024035935	0.891518	1.5308	0.072479035	2.13189564
ENSSBOG00000001725	4.876282658	0	1.246311	0	4.21813483
ENSSBOG00000001743	0.294015462	0.1655531	0.289177	0.227849489	2.16015218
ENSSBOG00000001744	4.290557107	3.661282	2.254878	0.74005974	5.57518524
ENSSBOG00000001761	2.38181494	0.4324851	0.6537287	1.921604661	0.53900889
ENSSBOG00000001778	7.054468656	6.861124	7.750272	6.121233033	5.92209078
ENSSBOG00000001780	1.455439015	0	0.8401047	0.292348287	2.11461689
ENSSBOG00000001781	1.207686738	0.8685825	0.5619625	0	2.09128008
