brain	liver	ovary
ENSAPLG00000000599	0	0	3.52763479666667
ENSAPLG00000000600	1.38145	1.991854075	3.932922621
ENSAPLG00000000601	0.6247513	0.442602651666667	1.26933831766667
ENSAPLG00000000602	0	0	0
ENSAPLG00000000603	0.813115	1.74868276666667	1.49288987983333
ENSAPLG00000000604	11.58952	10.7148541666667	10.957774911
ENSAPLG00000000605	0	0	0
ENSAPLG00000000606	4.045233	0.438013458333333	3.16185117966667
ENSAPLG00000000607	1.606651	1.91031466666667	2.4488879765
ENSAPLG00000000608	0.02319558	0	0.0283608376666667
ENSAPLG00000000609	2.742263	5.56101883333333	5.5508371195
ENSAPLG00000000610	3.3192	1.56017791666667	3.65497945316667
ENSAPLG00000000611	0	0	0
ENSAPLG00000000612	5.67955	6.350137	5.23509076383333
ENSAPLG00000000613	3.201563	4.64381591666667	3.6522315835
ENSAPLG00000000614	3.480317	4.87742283333333	5.27120212833333
ENSAPLG00000000615	0.5752484	1.8623237	6.39494458183333
ENSAPLG00000000616	5.808243	5.614244	5.866109248
ENSAPLG00000000617	6.414925	0.249565	5.10928021633333
ENSAPLG00000000618	7.092704	2.06376733333333	8.43621538233333
ENSAPLG00000000619	1.77303	3.84008308333333	2.36699337133333
ENSAPLG00000000620	5.284355	1.34884358333333	8.05789587633333
ENSAPLG00000000621	0.06928958	0.0100014	0.1826725595
ENSAPLG00000000622	5.856448	5.22643889166667	5.32954094066667
ENSAPLG00000000623	0	0	1.01569827183333
ENSAPLG00000000624	0	0.209307866666667	0
ENSAPLG00000000625	0.04214827	0.0681379583333333	1.178259399
ENSAPLG00000000626	4.223175	4.81017191666667	4.687559844
ENSAPLG00000000627	0.9930685	0	1.08595523983333
ENSAPLG00000000628	4.552045	3.35836233333333	4.3638570655
ENSAPLG00000000629	3.217108	2.60241941666667	3.9245301485
ENSAPLG00000000630	11.7591	2.60903333333333	11.3603516475
ENSAPLG00000000631	0.3329004	0.982695658333333	3.14080974316667
ENSAPLG00000000632	6.209639	1.55560891666667	8.45229327116667
ENSAPLG00000000633	1.386005	0.02610431	0.718809304166667
ENSAPLG00000000634	0.6169382	0.041857825	0.958255333333333
ENSAPLG00000000635	3.339119	0.687466358333333	2.7023822165
ENSAPLG00000000636	8.388207	1.52278333333333	8.89206018716667
ENSAPLG00000000637	2.142456	0.134536166666667	4.2675113305
ENSAPLG00000000638	6.985614	2.6470105	5.041847964
ENSAPLG00000000639	5.210085	6.13080083333333	5.63581397966667
ENSAPLG00000000640	0.04063661	0.0466592533333333	0.0341092666666667
ENSAPLG00000000641	1.531853	2.03864933333333	5.58980345583333
ENSAPLG00000000642	9.881669	2.41539225	10.203406456
ENSAPLG00000000643	6.612605	1.73942325	7.18562229916667
ENSAPLG00000000644	7.075543	2.87977216666667	8.0171841115
ENSAPLG00000000645	0.6197323	0	0.162845066666667
ENSAPLG00000000646	0	0	0.597772512166667
ENSAPLG00000000647	10.15893	2.14447633333333	9.72253457
ENSAPLG00000000648	0	0.0842656666666667	2.2703028825
ENSAPLG00000000649	0.5139162	1.64281673333333	3.61526385833333
ENSAPLG00000000650	8.591466	2.81426	4.57018678383333
ENSAPLG00000000651	1.630913	1.17938905	3.56880522333333
ENSAPLG00000000652	9.053329	2.03945316666667	10.051609069
ENSAPLG00000000653	3.187098	2.62979241666667	3.61212792316667
ENSAPLG00000000654	0	0.0181760666666667	0.9284744485
ENSAPLG00000000655	0.8012671	1.16400529166667	0.744971853166667
ENSAPLG00000000656	4.339558	1.40042816666667	9.0863875965
ENSAPLG00000000657	5.733585	0.875013	4.445598873
ENSAPLG00000000658	9.023874	7.22000491666667	8.9495480555
ENSAPLG00000000659	4.38118	5.7286495	6.02211621666667
ENSAPLG00000000660	5.025879	1.76825841666667	3.890646169
ENSAPLG00000000661	0.120157	0.696859033333333	0.127899037166667
ENSAPLG00000000662	4.829281	6.041247	5.40221323766667
ENSAPLG00000000663	0	0	0
ENSAPLG00000000664	5.924105	6.29111283333333	7.26321823116667
ENSAPLG00000000665	0.1995725	4.32657151666667	3.9189223005
ENSAPLG00000000666	1.931286	1.12426789166667	1.07568120616667
ENSAPLG00000000667	10.18075	11.4315891666667	11.7801579583333
ENSAPLG00000000668	2.813176	0.146722525	2.933196145
ENSAPLG00000000669	3.554491	1.84904433333333	0.505018782
ENSAPLG00000000670	3.2013	0.0877550083333333	1.38558253783333
ENSAPLG00000000671	9.000118	2.59665325	11.5426452548333
ENSAPLG00000000672	4.518378	3.58670875	2.4289071855
ENSAPLG00000000673	3.4609	0.935347666666667	5.44249475783333
ENSAPLG00000000674	1.963289	0.316329416666667	2.8980611705
ENSAPLG00000000675	7.221345	8.0412685	7.65889205033333
ENSAPLG00000000676	6.505408	1.39653008333333	10.457771876
ENSAPLG00000000677	0.7357544	0.286957066666667	1.20866581066667
ENSAPLG00000000678	1.729052	2.22383425	1.733565203
ENSAPLG00000000679	2.819492	0	0.196761333333333
ENSAPLG00000000680	3.285728	0	0.93697753
ENSAPLG00000000681	5.599895	3.68449875	5.01823155666667
ENSAPLG00000000682	4.198769	3.760298475	0.827593583333333
ENSAPLG00000000683	2.731285	0.000375587	1.50694927116667
ENSAPLG00000000684	6.049557	6.59608091666667	6.06215001633333
ENSAPLG00000000685	1.384912	0.633816341666667	0.684002172333333
ENSAPLG00000000686	7.554942	2.49303766666667	6.9969907205
ENSAPLG00000000687	6.412387	4.36164675	4.07644082433333
ENSAPLG00000000688	0	0	0.171536666666667
ENSAPLG00000000689	3.980025	4.44174833333333	5.44111944133333
ENSAPLG00000000690	1.435485	1.36227810833333	2.19348444266667
ENSAPLG00000000691	0.04488018	0.0985166233333333	0.0368504246666667
ENSAPLG00000000692	5.56694	4.79482425	4.36263006283333
ENSAPLG00000000693	7.597449	6.8100985	7.68794313233333
ENSAPLG00000000694	5.959511	1.02359066666667	5.46868617483333
ENSAPLG00000000695	7.245267	6.35786758333333	9.0022205345
ENSAPLG00000000696	0	0	0
ENSAPLG00000000697	2.925675	2.93341041666667	3.75883101433333
ENSAPLG00000000698	0	0	0
ENSAPLG00000000699	0	0.0704594416666667	0.644984580666667
ENSAPLG00000000700	0	0.294021391666667	0.0865663411666667
ENSAPLG00000000701	5.326163	4.040953075	5.92362893416667
ENSAPLG00000000702	0.157741	1.57205788333333	1.08417450333333
ENSAPLG00000000703	2.513049	5.24269166666667	3.79168418566667
ENSAPLG00000000704	0.04436502	0.00306989833333333	0
ENSAPLG00000000705	2.03185	0.466948116666667	2.803074229
ENSAPLG00000000706	0	0.068652775	0.449362117666667
ENSAPLG00000000707	0.09734704	2.23767535833333	0.481296283166667
ENSAPLG00000000708	1.429487	1.39306901666667	2.86704926133333
ENSAPLG00000000709	0	2.08228104166667	4.071715332
ENSAPLG00000000710	4.082098	4.10513783333333	7.24002847516667
ENSAPLG00000000711	4.584722	1.371994	6.5350381945
ENSAPLG00000000712	1.235366	1.40188691666667	1.83774870683333
ENSAPLG00000000713	0	0.214139083333333	2.431752403
ENSAPLG00000000714	0.7020484	0.719215466666667	5.19236886633333
ENSAPLG00000000715	8.179849	1.47368066666667	5.73662275083333
ENSAPLG00000000716	6.06487	5.22715733333333	3.96547953033333
ENSAPLG00000000717	0.0558026	6.52184883333333	0.8474837325
ENSAPLG00000000718	7.102322	7.76078633333333	7.48850396533333
ENSAPLG00000000719	2.410246	0.233312891666667	2.07137898683333
ENSAPLG00000000720	8.558964	2.56315958333333	7.2789998615
ENSAPLG00000000721	5.71432	6.71242941666667	7.92860636266667
ENSAPLG00000000722	3.993692	1.12276675	5.299533756
