brain	heart	kidney	liver	testis
MGP_CAROLIEiJ_G0002136	0	0	1.206022	0	0
MGP_CAROLIEiJ_G0002137	0	0	0	0	0
MGP_CAROLIEiJ_G0002138	0	1.831291	0	0	0
MGP_CAROLIEiJ_G0002139	1.4463665	0	0	0	0
MGP_CAROLIEiJ_G0002140	0	1.7436915	0	0.543800166666667	0
MGP_CAROLIEiJ_G0002141	0	0	0	0.963241	0
MGP_CAROLIEiJ_G0002142	0	3.047867	0	0	0
MGP_CAROLIEiJ_G0002143	0	1.187015	1.1825605	0.392888333333333	0
MGP_CAROLIEiJ_G0002144	0	0	0	0	0
MGP_CAROLIEiJ_G0002145	0	3.380612	3.1905535	0.349678833333333	0
MGP_CAROLIEiJ_G0002146	0	1.183754	0	0.562524166666667	0
MGP_CAROLIEiJ_G0002147	0	1.7752165	0	0.3423815	0
MGP_CAROLIEiJ_G0002148	0	1.1965585	1.96773	0.424469166666667	0
MGP_CAROLIEiJ_G0002149	0	0	0	0.540058666666667	0
MGP_CAROLIEiJ_G0002150	0	3.0891555	0	0	0
MGP_CAROLIEiJ_G0002151	0	1.6464975	0	0.783341166666667	0
MGP_CAROLIEiJ_G0002152	0	3.5188045	0	0	0
MGP_CAROLIEiJ_G0002153	0	0	0	0.361527	0
MGP_CAROLIEiJ_G0002154	0	1.1965585	0	0.919622833333333	0
MGP_CAROLIEiJ_G0002155	0	3.8473025	0	0.968933666666667	0
MGP_CAROLIEiJ_G0002156	0	3.0486355	0	0.439710333333333	0
MGP_CAROLIEiJ_G0002157	0	1.1965585	0	0	0
MGP_CAROLIEiJ_G0002158	0	1.6464975	0	0.421714333333333	0
MGP_CAROLIEiJ_G0002159	0	1.8764545	1.944941	0.967184166666667	0
MGP_CAROLIEiJ_G0002160	0	1.1965585	0	0	0
MGP_CAROLIEiJ_G0002161	0	3.752147	0	0.571111833333333	0
MGP_CAROLIEiJ_G0002162	0	1.216576	1.243586	0.421714333333333	0
MGP_CAROLIEiJ_G0002163	1.574078	1.910651	0	0.5784575	0
MGP_CAROLIEiJ_G0002164	0	1.6099225	0	0	0
MGP_CAROLIEiJ_G0002165	0	1.832173	1.1642345	0	0
MGP_CAROLIEiJ_G0002166	0	1.610241	0	0.3954145	0
MGP_CAROLIEiJ_G0002167	0	1.8761225	0	1.09741283333333	0
MGP_CAROLIEiJ_G0002168	0	1.891136	0	1.16018483333333	0
MGP_CAROLIEiJ_G0002169	0	3.7453125	1.243586	0	0
MGP_CAROLIEiJ_G0002170	0	1.6432415	1.909497	1.24334216666667	0
MGP_CAROLIEiJ_G0002171	1.995382	3.0486355	1.8937215	0.947773166666667	0
MGP_CAROLIEiJ_G0002172	2.99778	0	1.2426295	0.932667666666667	0
MGP_CAROLIEiJ_G0002173	0	2.1011695	3.114702	0	0
MGP_CAROLIEiJ_G0002174	0	1.6255785	1.206022	0.397577333333333	0
MGP_CAROLIEiJ_G0002175	0	1.7752165	0	0	0
MGP_CAROLIEiJ_G0002176	0	1.183754	0	0.3954145	0
MGP_CAROLIEiJ_G0002177	0	1.151658	0	0.5601605	0
MGP_CAROLIEiJ_G0002178	0	1.832173	1.5885955	0.9704795	0
MGP_CAROLIEiJ_G0002179	0	1.3465905	0	1.66152983333333	0
MGP_CAROLIEiJ_G0002180	0	0	1.8221475	0.3956795	0
MGP_CAROLIEiJ_G0002181	0	2.5145805	0	0.889302	0
MGP_CAROLIEiJ_G0002182	0	1.759708	0	0.981827833333333	0
MGP_CAROLIEiJ_G0002183	0	4.1271105	3.298137	0	0
MGP_CAROLIEiJ_G0002184	0	1.298403	0	0.7107995	0
MGP_CAROLIEiJ_G0002185	0	1.3535835	0	0.3949785	0
MGP_CAROLIEiJ_G0002186	3.6691965	6.045708	4.216053	0.915114666666667	0
MGP_CAROLIEiJ_G0002187	1.66674	1.32002	1.34226	0.3826405	0
MGP_CAROLIEiJ_G0002188	5.461025	3.2713505	1.3637705	1.16446183333333	0
MGP_CAROLIEiJ_G0002189	2.3346665	4.1818665	4.068123	0.645573166666667	0
MGP_CAROLIEiJ_G0002190	2.002273	2.4073445	3.3521675	0.765677333333333	0
MGP_CAROLIEiJ_G0002191	4.6253175	4.5208065	4.209205	1.0236835	0
MGP_CAROLIEiJ_G0002192	0	0	0	0	0
MGP_CAROLIEiJ_G0002193	0	1.849376	0	0	0
MGP_CAROLIEiJ_G0002194	0	0	0	0	0
MGP_CAROLIEiJ_G0002195	0	0	0	0	0
MGP_CAROLIEiJ_G0002196	0	0	0	0.8742535	0
MGP_CAROLIEiJ_G0002197	0	0	0	0.543800166666667	0
MGP_CAROLIEiJ_G0002198	0	4.384392	0	0.754600333333333	0
MGP_CAROLIEiJ_G0002199	0	1.8838855	0	0	0
MGP_CAROLIEiJ_G0002200	0	0	0	0	0
MGP_CAROLIEiJ_G0002201	3.859231	2.060595	0	0.622861333333333	0
MGP_CAROLIEiJ_G0002202	0	0	0	0	0
MGP_CAROLIEiJ_G0002203	0	0.2552582	0	0.1665655	0
MGP_CAROLIEiJ_G0002204	0	0	0	0	0
MGP_CAROLIEiJ_G0002205	0	0	0	0	0
MGP_CAROLIEiJ_G0002206	0	0	0	0.626578333333333	0
